,SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
0,[11CH3]N=C(O)[C@@H](Cc1ccccc1F)CN1CCC2(CC1)OCCc1cc(F)sc12,3.5,0.11,,,419.18,1,4,5,110.86680000000005,45.06,4.335300000000004
1,[18F-],0.15,1.0,,,18.0,0,0,0,0.0,0.0,-2.996
2,[2H]/C(c1nc[nH]c1C(C)(C)C)=c1/nc(O)/c(=C/c2ccccc2)nc1O,0.74,0.021,,,337.16,3,5,2,95.47530000000002,94.92,1.5659999999999996
3,[2H]C([2H])([2H])C(c1cc(-c2cccnc2O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H],4.89,,2.0,,461.23,2,5,6,130.4263,88.52000000000001,5.3022000000000045
4,[2H]C([2H])([2H])N(C(=O)c1c(C)cccc1F)c1ccc(-c2cc(N=C(C)O)nn2C(C)C)cc1N1CC2CC2C1,5.27,0.011,,,492.27,1,5,7,141.12629999999987,73.96,5.919120000000006
5,[2H]C([2H])([2H])N(C(=O)c1c(Cl)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C(C)C)cc1N1CC2CC2C1,6.13,0.004,,,528.19,1,5,7,146.45129999999983,73.96,6.778400000000006
6,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(C(=N)O)ccc2Cl)cc1OCC(F)(F)F,6.12,0.003,,,517.07,2,3,7,122.03900000000002,73.62,6.9005700000000045
7,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(C(=N)O)nn2C(C)C)cc1OCC(F)(F)F,5.24,0.059,,,515.14,2,5,8,123.19900000000004,91.44000000000001,6.024570000000003
8,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C(C)C)cc1-c1ccccc1,6.83,0.004,,,507.19,1,4,7,143.02529999999982,70.72,7.475000000000006
9,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C(C)C)cc1N1CC2CC2C1,5.61,0.014,,,512.22,1,5,7,141.3992999999999,73.96,6.264100000000005
10,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C(C)C)cc1N1CCCC1,5.76,0.017,,,500.22,1,5,7,139.03629999999993,73.96,6.408200000000005
11,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C(C)C)cc1N1CCCCC1,6.15,0.004,,,514.23,1,5,7,143.65329999999986,73.96,6.798300000000006
12,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C(C)C)cc1OCC(C)C,6.19,0.003,,,503.22,1,5,9,137.92229999999992,79.95,6.842800000000006
13,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C2CCC2)cc1N1CC2CC2C1,5.76,0.003,,,524.22,1,5,7,143.90229999999983,73.96,6.408200000000005
14,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2C2CCCC2)cc1N1CC2CC2C1,6.15,0.002,,,538.23,1,5,7,148.51929999999982,73.96,6.798300000000006
15,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(N=C(C)O)nn2CC2CC2)cc1N1CC2CC2C1,5.44,0.005,,,524.22,1,5,8,143.73829999999987,73.96,6.093200000000006
16,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cnn(C)c2C(C)C)cc1OCC(F)(F)F,6.22,0.009,,,486.15,0,4,7,118.42650000000005,47.36,6.2207000000000034
17,[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(N=C(C)O)nn2C(C)C)cc1N1CC2CC2C1,5.01,0.056,,,513.21,1,6,7,139.1942999999999,86.85000000000001,5.659100000000005
18,[2H]C([2H])([2H])OC1=C(C=C2[C@H]3CC(=O)[C@@H](CN3CCC2=C1)CC(C)C)OC([2H])([2H])[2H],3.4,0.165,,,323.24,0,4,6,90.13300000000005,38.769999999999996,3.238100000000002
19,[2H]C([2H])([2H])Oc1ccc(-c2c(-c3ccnc(N=C(C)O)c3)[nH]c3cccnc23)nc1,3.65,0.24,,,362.16,2,5,5,104.5055,96.28,4.3034000000000034
20,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(C#N)cn2)CC1,4.62,0.086,,,539.19,2,6,8,137.4070999999999,106.67999999999999,4.619380000000005
21,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,5.4,0.008,,,548.16,2,5,8,137.7020999999999,82.88999999999999,5.401100000000005
