SMILES,1A2,2B6,2A6,3A4,2CB,2C9,2C19,2D6,2E1,1A1,1A3,1A4,1A6,1A9,2B4,2B7,2B10,2B15,2B17,1A1,1B1,1E1,2A1
[2H]C([2H])([2H])C(c1cc(-c2cccnc2O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H],0.665371835231781,0.6618322134017944,0.40301570296287537,0.8147921562194824,0.7186748385429382,0.7186474204063416,0.6938541531562805,0.665505051612854,0.3464202880859375,0.5454211831092834,0.126613587141037,0.2024429887533188,0.07482002675533295,0.374188631772995,0.21086953580379486,0.27470889687538147,0.23322732746601105,0.2344268411397934,0.0673108622431755,0.3118521273136139,0.20235894620418549,0.20605537295341492,0.5757988095283508
[O-]Cl=O.[Na+],0.8836985230445862,0.8263803124427795,0.6558392643928528,0.8974534869194031,0.876046359539032,0.8652712106704712,0.8364402055740356,0.7975461483001709,0.698488712310791,0.8335243463516235,0.4718421399593353,0.635497510433197,0.8971555233001709,0.7719706892967224,0.6071526408195496,0.5723742842674255,0.6382507681846619,0.6601182222366333,0.7602452039718628,1.3531361818313599,0.9660899043083191,1.2290056943893433,1.0371297597885132
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,0.7543529272079468,0.7549179196357727,0.5818948745727539,0.8798030018806458,0.7770247459411621,0.7742576599121094,0.7600212097167969,0.765702486038208,0.5647521018981934,0.7506927847862244,0.32139745354652405,0.369437038898468,0.2328007072210312,0.5159239768981934,0.239395871758461,0.4816843569278717,0.3046075105667114,0.24603210389614105,0.12044518440961838,0.3206634521484375,0.1956438422203064,0.26482197642326355,0.48204877972602844
C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,0.8325620889663696,0.8490664958953857,0.7610235214233398,0.8884773254394531,0.8540962338447571,0.8528861999511719,0.8487708568572998,0.859987735748291,0.7338327765464783,0.5563455820083618,0.3289123773574829,0.20871198177337646,-0.016334373503923416,0.38686156272888184,0.020525215193629265,0.22476230561733246,0.013647900894284248,-0.049242645502090454,-0.097392238676548,0.16716107726097107,-0.0271818395704031,0.0032294541597366333,0.393062949180603
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,0.8934464454650879,0.8304471969604492,0.7262097001075745,0.876819908618927,0.8489567637443542,0.8448019027709961,0.8423373103141785,0.8232043385505676,0.7310815453529358,0.8513664603233337,0.6150058507919312,0.6561945080757141,0.5137511491775513,0.7892704606056213,0.5140497088432312,0.6447402834892273,0.5657856464385986,0.5042389631271362,0.28744393587112427,0.4375820457935333,0.0403904989361763,0.11033681780099869,0.6048849821090698
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,0.7744479775428772,0.749337375164032,0.5800049304962158,0.8525972962379456,0.79952472448349,0.7838965058326721,0.7565042972564697,0.7184422016143799,0.5765615105628967,0.40539902448654175,0.22550372779369354,0.34001970291137695,0.3891799747943878,0.45967811346054077,0.37440183758735657,0.2183610498905182,0.3824380338191986,0.3952118754386902,0.2815726101398468,0.4902961552143097,0.0950470119714737,0.2451755553483963,0.5377426147460938
C(=C(Cl)Cl)(Cl)Cl,1.0016862154006958,1.0117828845977783,0.9527531862258911,1.0098549127578735,1.0233986377716064,1.0185316801071167,1.016022801399231,0.9854942560195923,0.9255947470664978,0.8449240326881409,0.7513734102249146,0.8711138367652893,0.816766083240509,0.9000306725502014,0.8088790774345398,0.8053779006004333,0.8550233244895935,0.7947565913200378,0.4931032359600067,0.5791133642196655,0.18825605511665344,0.3617604374885559,0.7238305807113647
C(=C(Cl)Cl)Cl,0.9334968328475952,0.9475750923156738,0.890917181968689,0.9395670890808105,0.9613451361656189,0.952301025390625,0.9442979693412781,0.9258759617805481,0.8779854774475098,0.7375923991203308,0.6525099277496338,0.788804829120636,0.750694990158081,0.801537275314331,0.7289730906486511,0.7249711751937866,0.7601513266563416,0.7141345739364624,0.48300185799598694,0.5511263608932495,0.20327579975128174,0.37499016523361206,0.6494405269622803
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.7554705142974854,0.7079592943191528,0.6183697581291199,0.7618913650512695,0.7444486618041992,0.746715784072876,0.7365566492080688,0.6982910633087158,0.6218921542167664,0.6657624244689941,0.6049478650093079,0.7329148054122925,0.8058756589889526,0.7769558429718018,0.698128879070282,0.7445364594459534,0.7739103436470032,0.7405205368995667,0.5204896330833435,0.5334665775299072,0.17794965207576752,0.3130168914794922,0.5438332557678223
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.7267504930496216,0.6690789461135864,0.5688819289207458,0.7394536137580872,0.7075109481811523,0.7099767327308655,0.6955204606056213,0.6600406765937805,0.582634687423706,0.64139723777771,0.5629905462265015,0.6874070763587952,0.7595239281654358,0.7518179416656494,0.656686007976532,0.7030952572822571,0.7380613684654236,0.7008037567138672,0.48810485005378723,0.5111901164054871,0.18656030297279358,0.3126966059207916,0.5190185904502869
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.7885849475860596,0.7480078935623169,0.6519164443016052,0.7911345958709717,0.7825596332550049,0.7827621698379517,0.7706813812255859,0.7354992032051086,0.6653673052787781,0.7573928236961365,0.7069146633148193,0.8250367045402527,0.8813254237174988,0.8889226913452148,0.7806872129440308,0.8254217505455017,0.8689871430397034,0.8181973099708557,0.5715373754501343,0.5866500735282898,0.23740102350711823,0.3644807040691376,0.6037870645523071
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.8510419130325317,0.8110346794128418,0.7183352708816528,0.8489596843719482,0.8412132859230042,0.8396156430244446,0.8275122046470642,0.7929350733757019,0.7459955811500549,0.848063588142395,0.7808842658996582,0.9284582138061523,0.9681506156921387,0.979345440864563,0.8662629723548889,0.907723069190979,0.9526206851005554,0.8916639089584351,0.6435597538948059,0.6947483420372009,0.3148963153362274,0.4576834440231323,0.6753458380699158
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0.8957167863845825,0.8555586934089661,0.7568976283073425,0.8817846775054932,0.8752718567848206,0.8728711009025574,0.8635258674621582,0.8419845104217529,0.7823879718780518,0.8955652713775635,0.8286498785018921,0.9757498502731323,1.014495611190796,1.020861268043518,0.8978772163391113,0.9454460144042969,0.9848412275314331,0.9224275350570679,0.6752599477767944,0.7551618814468384,0.36624327301979065,0.5344990491867065,0.69087153673172
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,0.8838138580322266,0.8867514729499817,0.8290594220161438,0.9896175861358643,0.919731080532074,0.9034092426300049,0.8916285037994385,0.8771780729293823,0.8386533856391907,0.7982572317123413,0.47748127579689026,0.5528681874275208,0.585567057132721,0.6860246658325195,0.6079675555229187,0.5204746723175049,0.6044989824295044,0.585940420627594,0.4857676923274994,0.8303330540657043,0.5230240821838379,0.6686782836914062,0.8088535666465759
C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.8094086647033691,0.7432463765144348,0.6376006007194519,0.8019081354141235,0.7741590142250061,0.780762255191803,0.7665435075759888,0.7415283918380737,0.6496798992156982,0.6359349489212036,0.4792937934398651,0.6478923559188843,0.6763829588890076,0.6891409158706665,0.572531521320343,0.6202551126480103,0.6688790321350098,0.614888072013855,0.42091816663742065,0.4966220557689667,0.19599394500255585,0.33605411648750305,0.4228217303752899
C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,0.752745509147644,0.7489831447601318,0.6185921430587769,0.8146539926528931,0.7867323756217957,0.7742412686347961,0.7638447284698486,0.6961635947227478,0.6099771857261658,0.7174792885780334,0.5960149168968201,0.7256398797035217,0.73433518409729,0.7938111424446106,0.7523269653320312,0.6828950047492981,0.7708514332771301,0.7729041576385498,0.5320367813110352,0.7543948888778687,0.20893210172653198,0.4091528058052063,0.8473063111305237
