SMILES,1A2,2B6,2A6,3A4,2CB,2C9,2C19,2D6,2E1,1A1,1A3,1A4,1A6,1A9,2B4,2B7,2B10,2B15,2B17,1A1,1B1,1E1,2A1
[2H]C([2H])([2H])C(c1cc(-c2cccnc2O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H],0.8839211463928223,0.839920163154602,0.6826192140579224,0.9375789165496826,0.8974771499633789,0.8988895416259766,0.8983389139175415,0.9185925722122192,0.7187846899032593,0.77393639087677,0.7163667678833008,0.6384940147399902,0.6128299236297607,0.7269139289855957,0.6629190444946289,0.7834334373474121,0.6609294414520264,0.6009125709533691,0.4748493731021881,0.6318842172622681,0.3980412781238556,0.44544515013694763,0.5685662031173706
[O-]Cl=O.[Na+],0.81062912940979,0.7757599353790283,0.6030545234680176,0.9076597690582275,0.8358458280563354,0.8173240423202515,0.7893370389938354,0.844266414642334,0.7992165088653564,0.45526978373527527,0.30169838666915894,0.5438930988311768,0.32730984687805176,0.44298645853996277,0.5560812950134277,0.4254995286464691,0.5498160123825073,0.6506514549255371,0.5876368284225464,0.9525249004364014,0.96354079246521,1.0148918628692627,0.7008500099182129
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,1.031204104423523,1.007952094078064,0.8661379814147949,1.0179924964904785,1.0347723960876465,1.025377631187439,1.0160249471664429,1.0330599546432495,0.9535706043243408,0.8892203569412231,0.826900839805603,0.8740791082382202,0.7464791536331177,0.905890703201294,0.8672283887863159,0.8898545503616333,0.8441929817199707,0.8039501905441284,0.6000947952270508,0.5779714584350586,0.38201767206192017,0.4658791720867157,0.3282427489757538
C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,0.946702241897583,0.9507523775100708,0.869430661201477,0.9247667789459229,0.9363996982574463,0.9346530437469482,0.935368537902832,0.9284946918487549,0.8746685981750488,0.7292361259460449,0.685319185256958,0.5665570497512817,0.48399028182029724,0.683152437210083,0.47287705540657043,0.6260803937911987,0.45706674456596375,0.3206567168235779,0.18796944618225098,0.0657941997051239,-0.1476830244064331,-0.1384705901145935,-0.017177022993564606
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,0.6350586414337158,0.5911672115325928,0.35404345393180847,0.7792537212371826,0.6450761556625366,0.6255489587783813,0.59112548828125,0.61455237865448,0.49005571007728577,0.193503737449646,0.03953929245471954,0.04914537072181702,-0.03714226931333542,0.11414146423339844,-0.010685928165912628,-0.0021298229694366455,-0.0006297603249549866,-0.0065005868673324585,0.02077402174472809,0.12918958067893982,0.08995458483695984,0.10018807649612427,0.09539486467838287
C(=C(Cl)Cl)(Cl)Cl,0.9295471906661987,0.9326543807983398,0.8151648044586182,0.980925440788269,0.9684311151504517,0.9573818445205688,0.932436466217041,0.9559500217437744,0.9707372188568115,0.622664213180542,0.5318973064422607,0.7460503578186035,0.44075146317481995,0.6491508483886719,0.7607128620147705,0.7026052474975586,0.6917579174041748,0.7113316059112549,0.49777939915657043,0.7462786436080933,0.6247032880783081,0.7141982316970825,0.3971391022205353
C(=C(Cl)Cl)Cl,0.7539088726043701,0.7411830425262451,0.5828202962875366,0.8422666788101196,0.7885504961013794,0.7754654884338379,0.7425419092178345,0.7642859220504761,0.7426005601882935,0.32670584321022034,0.179273784160614,0.4349040687084198,0.1595882773399353,0.336077481508255,0.43561282753944397,0.3332134187221527,0.38796839118003845,0.4343043863773346,0.2831959128379822,0.5789778232574463,0.4964577257633209,0.56798255443573,0.3037087321281433
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,0.8536999225616455,0.8341785669326782,0.6199074983596802,0.9381096363067627,0.8889775276184082,0.8705563545227051,0.8390178680419922,0.8633315563201904,0.796005368232727,0.3936319649219513,0.20155635476112366,0.3022894561290741,0.08985316753387451,0.33118554949760437,0.19817084074020386,0.19810491800308228,0.1768845021724701,0.15012702345848083,0.03539164364337921,0.3664804697036743,0.25837692618370056,0.3149349093437195,0.1260146200656891
C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.7674974203109741,0.8431546688079834,0.6825869083404541,0.8749531507492065,0.8749425411224365,0.8772176504135132,0.8820111751556396,0.8851484060287476,0.7646318674087524,0.35178855061531067,0.27422505617141724,0.2871939539909363,0.07547032833099365,0.3446488082408905,0.3242790997028351,0.4276752173900604,0.24439597129821777,0.22419264912605286,0.04315681755542755,0.0161513090133667,-0.15027767419815063,-0.04811108112335205,-0.3461768627166748
C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,0.6082817316055298,0.6114369630813599,0.36974433064460754,0.7532461881637573,0.6753203868865967,0.6591728925704956,0.6269437074661255,0.6603357791900635,0.5635558366775513,0.22900822758674622,0.07554802298545837,0.18085643649101257,-0.07409203797578812,0.2213735580444336,0.17565330862998962,0.20212861895561218,0.12688779830932617,0.13945266604423523,-0.008042335510253906,0.3553970456123352,0.20940831303596497,0.3035348653793335,0.012734606862068176
C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,0.6705188751220703,0.6912833452224731,0.509140133857727,0.7769006490707397,0.746737003326416,0.7345120906829834,0.7203478813171387,0.7531278133392334,0.675905704498291,0.2975456416606903,0.1758292019367218,0.30112192034721375,0.07131928205490112,0.29082757234573364,0.33528342843055725,0.33454155921936035,0.26472166180610657,0.28963127732276917,0.13953429460525513,0.38161614537239075,0.2476656138896942,0.35228225588798523,0.05044636130332947
C(C(F)(Cl)Cl)(F)(F)Cl,0.9450236558914185,1.0075725317001343,0.9342813491821289,0.9885497093200684,1.0225061178207397,1.0152941942214966,1.011480450630188,1.0325939655303955,1.0224270820617676,0.7225626707077026,0.694800615310669,0.8206183910369873,0.508299708366394,0.7706646919250488,0.8535339832305908,0.8510757684707642,0.743560791015625,0.715347170829773,0.431575745344162,0.42901667952537537,0.2959739863872528,0.39555624127388,0.04804493486881256
C(C(F)(F)F)(C(F)(F)F)F,1.022011399269104,1.0795916318893433,0.9810693264007568,1.0636979341506958,1.0889524221420288,1.0868467092514038,1.0841854810714722,1.0903373956680298,1.071867823600769,0.7428337335586548,0.6963661909103394,0.8227293491363525,0.5122449398040771,0.7874681949615479,0.8434714078903198,0.8665156364440918,0.7501552104949951,0.7109588384628296,0.38975057005882263,0.4700070917606354,0.2852154076099396,0.3721480667591095,0.08331653475761414
C(C(F)(F)F)(Cl)Cl,0.98375403881073,1.0407004356384277,0.978469967842102,1.015987753868103,1.0500580072402954,1.0437088012695312,1.045084834098816,1.0668234825134277,1.0706061124801636,0.7153109312057495,0.6842502355575562,0.8490579128265381,0.5293803215026855,0.7887037992477417,0.8935997486114502,0.8727473020553589,0.7804268598556519,0.7646342515945435,0.47755882143974304,0.46310320496559143,0.32862401008605957,0.42537620663642883,0.08498574793338776
C(C(F)(F)F)F,0.9750224351882935,1.013568639755249,0.9350817203521729,1.0192933082580566,1.0243548154830933,1.0252604484558105,1.0219815969467163,1.0251260995864868,1.0276081562042236,0.6863445043563843,0.6336444616317749,0.796039342880249,0.5031113624572754,0.7354122400283813,0.8482193946838379,0.802902340888977,0.7608766555786133,0.7756553888320923,0.5261334180831909,0.5861883163452148,0.44021984934806824,0.5269126892089844,0.24861878156661987
C(CCC(=O)NN)CC(=O)NN,0.7203505039215088,0.7336982488632202,0.5494073629379272,0.7975751161575317,0.7774380445480347,0.7674417495727539,0.7474828958511353,0.7633541822433472,0.7214571237564087,0.2821374833583832,0.17451295256614685,0.3613187372684479,0.1088762879371643,0.3300243318080902,0.39888718724250793,0.3597153127193451,0.3361925184726715,0.4003817141056061,0.2969375550746918,0.35262826085090637,0.25073426961898804,0.3595481514930725,-0.032834842801094055
C(CCl)Cl,0.9440045356750488,0.9432977437973022,0.8171577453613281,0.9897876977920532,0.9594619274139404,0.9508588314056396,0.9331459999084473,0.9604541063308716,0.9603809118270874,0.6369591951370239,0.5405020713806152,0.785361647605896,0.46952739357948303,0.6660897731781006,0.789853572845459,0.6897566318511963,0.7280920743942261,0.759091854095459,0.5542384386062622,0.8530452251434326,0.7190824747085571,0.7975594997406006,0.5359183549880981
C(CCl)OP(=O)(OCCCl)OCCCl,0.5031901597976685,0.5093097686767578,0.2991499602794647,0.6370754241943359,0.5735719203948975,0.55574631690979,0.5267266035079956,0.5437016487121582,0.4721694886684418,0.019855022430419922,-0.1485486924648285,0.06038951873779297,-0.1654202938079834,0.020066946744918823,0.11737513542175293,0.02557358145713806,0.08535446226596832,0.18366503715515137,0.13534106314182281,0.24433019757270813,0.2541612684726715,0.3434569239616394,-0.05512247979640961
C(Cl)(Cl)(Cl)Cl,1.0191768407821655,1.0460889339447021,0.978302001953125,1.0432921648025513,1.058060884475708,1.0478742122650146,1.0417455434799194,1.0673396587371826,1.0858014822006226,0.7640718221664429,0.7141457796096802,0.8589038848876953,0.5461524724960327,0.8067364692687988,0.8810756206512451,0.867658257484436,0.7851500511169434,0.7672735452651978,0.5281497240066528,0.6443954706192017,0.5002423524856567,0.5890676975250244,0.2974875867366791
C(Cl)(Cl)Cl,1.0134834051132202,1.046339750289917,0.974885106086731,1.0429631471633911,1.0558829307556152,1.0485211610794067,1.0405058860778809,1.0695701837539673,1.0868674516677856,0.7325414419174194,0.6786658763885498,0.8792198896408081,0.5608327388763428,0.7841380834579468,0.8982882499694824,0.8355405330657959,0.8097852468490601,0.8014625310897827,0.5683680772781372,0.7108554840087891,0.5597245693206787,0.6491974592208862,0.35899612307548523
C(CNCCN)N,0.5472583770751953,0.5337156057357788,0.33593469858169556,0.6656169891357422,0.601800799369812,0.5863504409790039,0.5513224601745605,0.5998432636260986,0.5427378416061401,0.1075822114944458,-0.043879590928554535,0.2750324606895447,-0.013266488909721375,0.14188793301582336,0.3200136125087738,0.15304046869277954,0.27511876821517944,0.3997736871242523,0.32350966334342957,0.6906359195709229,0.7031394243240356,0.7735778093338013,0.4009014070034027
C(F)(F)(Cl)Cl,1.0365829467773438,1.0733460187911987,1.0054786205291748,1.0503326654434204,1.0863465070724487,1.082192063331604,1.0824757814407349,1.1039398908615112,1.1001957654953003,0.7763936519622803,0.7551789283752441,0.9084936380386353,0.6106446981430054,0.8387157917022705,0.9385008811950684,0.90803062915802,0.8374156951904297,0.827006459236145,0.5621919631958008,0.5997301340103149,0.46452346444129944,0.5566092729568481,0.23649215698242188
C(F)(F)(F)Br,1.0180912017822266,1.069891095161438,0.9745123386383057,1.0454344749450684,1.0811724662780762,1.0808963775634766,1.0797429084777832,1.0905447006225586,1.0717686414718628,0.7221325635910034,0.6860102415084839,0.8642023801803589,0.6025416851043701,0.7938351631164551,0.9233449697494507,0.8784266710281372,0.8348917961120605,0.8413609266281128,0.5971094369888306,0.5805841684341431,0.46404340863227844,0.5578503608703613,0.210976243019104
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,1.003338098526001,0.9537320137023926,0.8183729648590088,0.9764429330825806,1.0011836290359497,0.9957607984542847,0.9920552968978882,1.007054328918457,0.917730450630188,0.8319965600967407,0.7742512226104736,0.967644453048706,0.804417610168457,0.8544795513153076,1.0139490365982056,0.9562669992446899,1.0112245082855225,1.0183303356170654,0.8125790357589722,0.7829020023345947,0.5220410823822021,0.6419084072113037,0.510512113571167
C/C(=C\C(=O)NC)/OP(=O)(OC)OC,0.8520629405975342,0.7534546852111816,0.4989412724971771,0.8962103128433228,0.854300856590271,0.842003583908081,0.816767692565918,0.855819582939148,0.6846963167190552,0.5797426700592041,0.42230257391929626,0.5856512784957886,0.5044064521789551,0.5228284597396851,0.6510027647018433,0.5728546380996704,0.6801798343658447,0.7405639886856079,0.6416833400726318,0.9353259801864624,0.7646874189376831,0.8866385221481323,0.6302071809768677
C/C(=N\OC(=O)N(SN(C(=O)O/N=C(/SC)\C)C)C)/SC,0.9762625694274902,0.9104747772216797,0.7230393886566162,1.0166038274765015,0.9841717481613159,0.9750083684921265,0.9563525915145874,0.9921541213989258,0.8483103513717651,0.7943975925445557,0.6831562519073486,0.770613431930542,0.7163772583007812,0.7320853471755981,0.8077991008758545,0.7739577293395996,0.8254997730255127,0.8567745685577393,0.6914771795272827,0.9524506330490112,0.7672023773193359,0.8565460443496704,0.6921190023422241
C[As](=O)(C)O,0.5057201385498047,0.4120143949985504,0.18415668606758118,0.6428400278091431,0.5163528919219971,0.49317726492881775,0.4406141936779022,0.5069619417190552,0.4048129618167877,0.06279642879962921,-0.1486055552959442,0.11022907495498657,0.006351374089717865,0.0018494203686714172,0.15183737874031067,-0.026961565017700195,0.16857141256332397,0.31420382857322693,0.3896768391132355,0.8228868246078491,0.9169293642044067,0.9670953750610352,0.5947591066360474
C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,0.8580487966537476,0.8967336416244507,0.8470250368118286,0.8606346845626831,0.8731720447540283,0.8681882619857788,0.8672873973846436,0.8683329820632935,0.8994886875152588,0.7071784734725952,0.6764951944351196,0.7183617353439331,0.4972664415836334,0.7371286153793335,0.6779876947402954,0.7191250324249268,0.6297305822372437,0.5648022890090942,0.3236122131347656,0.12993864715099335,-0.010195024311542511,0.04753248393535614,-0.0691380426287651
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.8738692998886108,0.8932090997695923,0.85167396068573,0.8778272867202759,0.9010680913925171,0.9014743566513062,0.9041569232940674,0.9360307455062866,0.8889385461807251,0.8787848949432373,0.8807815313339233,0.90618896484375,0.6809638738632202,0.9071433544158936,0.8938858509063721,0.9572662115097046,0.8270231485366821,0.7360938787460327,0.43115195631980896,0.48996439576148987,0.32902902364730835,0.3878955543041229,0.3055185079574585
