SMILES,1A2,2B6,2A6,3A4,2CB,2C9,2C19,2D6,2E1,1A1,1A3,1A4,1A6,1A9,2B4,2B7,2B10,2B15,2B17,1A1,1B1,1E1,2A1
[2H]C([2H])([2H])C(c1cc(-c2cccnc2O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H],7.102779388427734,6.985005855560303,6.996664524078369,6.610600471496582,6.958193778991699,6.958139419555664,6.966931343078613,7.101329803466797,7.023519992828369,6.588268756866455,6.621046543121338,6.578911781311035,6.595192909240723,6.597879409790039,6.585701942443848,6.608315467834473,6.593571662902832,6.584773063659668,6.578261375427246,6.4642791748046875,6.353320598602295,6.408255577087402,6.554002285003662
[O-]Cl=O.[Na+],4.176357269287109,3.954192638397217,4.006921291351318,3.799924850463867,3.93451189994812,3.9355380535125732,3.917551279067993,4.045227527618408,4.03088903427124,3.691443681716919,3.709228277206421,3.692427396774292,3.6752817630767822,3.718644857406616,3.709791421890259,3.7210476398468018,3.71236252784729,3.7117135524749756,3.7067244052886963,3.7797677516937256,3.711463212966919,3.7375452518463135,3.850890874862671
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,5.734661102294922,5.662445545196533,5.683099746704102,5.343489646911621,5.6273722648620605,5.635768413543701,5.632719039916992,5.776363372802734,5.720109462738037,5.220632553100586,5.258298873901367,5.212044715881348,5.221452713012695,5.240808486938477,5.226046562194824,5.250584602355957,5.234142780303955,5.229641437530518,5.2203369140625,5.218372821807861,5.09760856628418,5.145279884338379,5.292187213897705
C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,6.779000282287598,6.714932441711426,6.7339372634887695,6.36628532409668,6.678415298461914,6.688024520874023,6.685683250427246,6.83383846282959,6.772185325622559,6.255651473999023,6.294373512268066,6.245431900024414,6.257437705993652,6.273801326751709,6.257102966308594,6.282817840576172,6.266554832458496,6.260974407196045,6.251004219055176,6.220310211181641,6.0987443923950195,6.149908065795898,6.297917366027832
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,6.478621959686279,6.466752052307129,6.468147277832031,6.037318706512451,6.429204940795898,6.439164161682129,6.447983264923096,6.595756530761719,6.509182929992676,5.957036972045898,6.003276824951172,5.942530155181885,5.969589710235596,5.968822479248047,5.9504289627075195,5.983368873596191,5.961636543273926,5.954607009887695,5.944858551025391,5.848211288452148,5.709067344665527,5.770689964294434,5.929527759552002
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,7.60330867767334,7.425209045410156,7.43815803527832,7.047124862670898,7.40065336227417,7.397033214569092,7.407671928405762,7.544793605804443,7.46254825592041,7.045936584472656,7.075150012969971,7.037015438079834,7.0527496337890625,7.05047607421875,7.038563251495361,7.0591840744018555,7.049779891967773,7.034438133239746,7.029070854187012,6.900941848754883,6.789385795593262,6.848150730133057,7.001228332519531
C(=C(Cl)Cl)(Cl)Cl,3.4140074253082275,3.083305835723877,3.1229519844055176,2.870323657989502,3.072495460510254,3.0619513988494873,3.0582683086395264,3.170851469039917,3.1320464611053467,2.8826353549957275,2.89780592918396,2.8835387229919434,2.8726651668548584,2.8938534259796143,2.892035961151123,2.9049365520477295,2.8966152667999268,2.887073278427124,2.885488271713257,2.8232505321502686,2.754115343093872,2.79552960395813,2.926175832748413
C(=C(Cl)Cl)Cl,3.3512604236602783,3.049147367477417,3.0884575843811035,2.8533565998077393,3.035264253616333,3.028442859649658,3.0206992626190186,3.1327626705169678,3.1001107692718506,2.839444875717163,2.853743076324463,2.840996503829956,2.8264243602752686,2.855039119720459,2.8529369831085205,2.8643035888671875,2.8565118312835693,2.850206136703491,2.8476152420043945,2.8203718662261963,2.7532906532287598,2.7925493717193604,2.918195962905884
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,7.055551052093506,6.94691276550293,6.947457790374756,6.483104705810547,6.922974586486816,6.918622970581055,6.937283039093018,7.0722551345825195,6.971050262451172,6.520257949829102,6.560951232910156,6.50719690322876,6.5385332107543945,6.5181169509887695,6.502881050109863,6.533517360687256,6.516862869262695,6.499661445617676,6.493525505065918,6.249616622924805,6.093157768249512,6.1809844970703125,6.3559699058532715
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,6.914332389831543,6.80844783782959,6.80856990814209,6.334678649902344,6.784918308258057,6.7805070877075195,6.800235748291016,6.934446811676025,6.832387924194336,6.375047206878662,6.416321754455566,6.361882209777832,6.395317554473877,6.3732500076293945,6.357322692871094,6.388759613037109,6.371654987335205,6.354551792144775,6.348215579986572,6.100534439086914,5.939250946044922,6.028660774230957,6.208054542541504
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,6.831026077270508,6.699698448181152,6.698206424713135,6.210045337677002,6.676987648010254,6.671848297119141,6.692807197570801,6.826557159423828,6.721805572509766,6.273180961608887,6.314913749694824,6.260157585144043,6.29404354095459,6.267165660858154,6.254380226135254,6.286593437194824,6.2689361572265625,6.249194145202637,6.244462013244629,5.969306945800781,5.813765048980713,5.902833461761475,6.083319187164307
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,6.633790016174316,6.4832353591918945,6.481156826019287,5.999968528747559,6.4603495597839355,6.454456329345703,6.475994110107422,6.611502170562744,6.503490924835205,6.063914775848389,6.103128433227539,6.05306339263916,6.082266807556152,6.0584001541137695,6.047619819641113,6.077632904052734,6.061283111572266,6.041988372802734,6.037904739379883,5.778383255004883,5.6340789794921875,5.7177414894104,5.893089294433594
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,6.440334320068359,6.2943854331970215,6.2924909591674805,5.8124213218688965,6.269327163696289,6.265779495239258,6.28618049621582,6.422450065612793,6.316259860992432,5.864468574523926,5.905463218688965,5.85282039642334,5.8831095695495605,5.860042572021484,5.849536895751953,5.880075454711914,5.863179683685303,5.844833850860596,5.839940071105957,5.595574378967285,5.451480865478516,5.531968593597412,5.706186771392822
