SMILES,1A2,2B6,2A6,3A4,2CB,2C9,2C19,2D6,2E1,1A1,1A3,1A4,1A6,1A9,2B4,2B7,2B10,2B15,2B17,1A1,1B1,1E1,2A1
[2H]C([2H])([2H])C(c1cc(-c2cccnc2O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H],7.102781295776367,6.985006809234619,6.996668815612793,6.610599517822266,6.95819091796875,6.9581379890441895,6.9669342041015625,7.101324081420898,7.023520469665527,6.5882673263549805,6.621045112609863,6.578909873962402,6.595191955566406,6.597878932952881,6.585701942443848,6.608314037322998,6.59357213973999,6.58477258682251,6.578261375427246,6.4642767906188965,6.353320121765137,6.408256530761719,6.553997993469238
[O-]Cl=O.[Na+],4.176358222961426,3.9541943073272705,4.006924629211426,3.7999253273010254,3.934511184692383,3.9355380535125732,3.9175541400909424,4.045226097106934,4.03088903427124,3.6914443969726562,3.709228754043579,3.692426919937134,3.675281524658203,3.7186450958251953,3.709791421890259,3.7210476398468018,3.7123630046844482,3.711714029312134,3.7067248821258545,3.779766321182251,3.7114627361297607,3.737548351287842,3.850889205932617
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,5.7346625328063965,5.66244649887085,5.683103084564209,5.343488693237305,5.627370834350586,5.635767936706543,5.632722854614258,5.7763590812683105,5.720109939575195,5.220632553100586,5.258297920227051,5.212043285369873,5.221452236175537,5.240808486938477,5.226047039031982,5.250583648681641,5.2341437339782715,5.229641437530518,5.2203369140625,5.21837043762207,5.097606182098389,5.1452813148498535,5.292183876037598
C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,6.779001235961914,6.7149338722229,6.733941078186035,6.366284370422363,6.678414344787598,6.688024044036865,6.685687065124512,6.833834648132324,6.772185802459717,6.255650997161865,6.29437255859375,6.2454304695129395,6.257436275482178,6.273801803588867,6.257103443145752,6.2828168869018555,6.2665557861328125,6.260974407196045,6.251004219055176,6.220308303833008,6.098742961883545,6.149909973144531,6.297914028167725
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,6.478623867034912,6.4667534828186035,6.468151569366455,6.037319183349609,6.429202079772949,6.4391632080078125,6.4479875564575195,6.5957512855529785,6.509183883666992,5.957036972045898,6.0032758712768555,5.942528247833252,5.9695892333984375,5.968823432922363,5.9504289627075195,5.983367443084717,5.961637496948242,5.954606056213379,5.944859027862549,5.848208427429199,5.7090654373168945,5.770691394805908,5.929523468017578
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,7.603310585021973,7.425208568572998,7.438161849975586,7.047123432159424,7.400650978088379,7.397031307220459,7.407675266265869,7.544787406921387,7.462547779083252,7.045936107635498,7.075148582458496,7.037013053894043,7.052748680114746,7.05047607421875,7.038561820983887,7.059182167053223,7.049777984619141,7.03443717956543,7.029070854187012,6.900938510894775,6.789383888244629,6.848151206970215,7.001223564147949
C(=C(Cl)Cl)(Cl)Cl,3.4140093326568604,3.0833067893981934,3.122955799102783,2.8703243732452393,3.072495222091675,3.061950922012329,3.05827260017395,3.170849323272705,3.132047176361084,2.882636070251465,2.897806167602539,2.8835389614105225,2.8726651668548584,2.8938536643981934,2.8920364379882812,2.9049365520477295,2.896615743637085,2.8870739936828613,2.885488986968994,2.823248863220215,2.754115343093872,2.795531749725342,2.926173448562622
C(=C(Cl)Cl)Cl,3.351262092590332,3.0491483211517334,3.08846116065979,2.8533568382263184,3.035263776779175,3.028442621231079,3.020702362060547,3.132760524749756,3.1001107692718506,2.8394463062286377,2.853743553161621,2.8409957885742188,2.8264241218566895,2.85503888130188,2.8529372215270996,2.8643031120300293,2.8565123081207275,2.8502066135406494,2.847615957260132,2.8203694820404053,2.7532901763916016,2.792551040649414,2.9181935787200928
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,7.055553436279297,6.946914196014404,6.947463035583496,6.483105182647705,6.9229736328125,6.9186224937438965,6.9372878074646,7.0722503662109375,6.971051216125488,6.520257949829102,6.560950756072998,6.507196426391602,6.538532257080078,6.5181169509887695,6.50288200378418,6.533517360687256,6.516863822937012,6.499661445617676,6.493526458740234,6.2496137619018555,6.093155860900879,6.180985450744629,6.355965614318848
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,6.91433572769165,6.808448791503906,6.80857515335083,6.334677696228027,6.784916400909424,6.780506610870361,6.800240516662598,6.934441089630127,6.832388877868652,6.375047206878662,6.416320323944092,6.361881256103516,6.3953166007995605,6.373250484466553,6.357322692871094,6.388759136199951,6.37165641784668,6.354551315307617,6.348215103149414,6.100531578063965,5.939249038696289,6.028661727905273,6.208050727844238
