,Unnamed: 0,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
0,3,[2H]C([2H])([2H])C(c1cc(-c2cccnc2O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H],4.89,,2.0,461.23,2,5,6,130.4263,88.52000000000001,5.3022000000000045
1,80,[O-]Cl=O.[Na+],-0.259,,75.4,89.95,0,2,0,0.0,46.12,-5.3740000000000006
2,91,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,1.93,0.17,7.658,384.2,4,6,9,105.00950000000005,124.44,0.3605999999999987
3,103,C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,,,3.55,391.15,1,7,2,109.82570000000004,74.73000000000002,3.1591000000000005
4,108,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,2.55,0.02807,8.336,354.1,0,4,2,91.06800000000004,66.92,1.9281
5,119,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,2.98,0.378,0.0,263.88,0,2,0,55.912000000000006,47.58,4.04356
6,161,C(=C(Cl)Cl)(Cl)Cl,3.4,0.2463,0.0548,163.88,0,0,0,30.438,0.0,3.0682
7,162,C(=C(Cl)Cl)Cl,2.51,0.295,10.98,129.91,0,0,0,25.642,0.0,2.5017000000000005
8,174,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.0,8.05e-09,0.0,563.96,1,1,9,58.21379999999994,37.3,6.351000000000002
9,175,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.15,0.00284,0.0,513.97,1,1,8,53.266799999999954,37.3,5.715700000000001
10,176,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,3.54,0.000992,0.0,463.97,1,1,7,48.319799999999965,37.3,5.0804
11,177,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.06,0.00164,0.0,363.98,1,1,5,38.4258,37.3,3.8098
12,178,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.85,0.01676,0.0,313.98,1,1,4,33.47880000000001,37.3,3.1745
13,239,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,1.68,0.09194,1.791,253.97,2,4,3,51.7582,85.44,1.5731
14,252,C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,5.02,0.001515,11.93,498.95,1,2,7,53.791199999999975,60.16,4.2418
15,260,C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,4.29,0.00703,177.0,691.58,0,4,12,104.98950000000004,44.760000000000005,5.619500000000003
