SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
[2H]C([2H])([2H])C(c1cc(-c2cccnc2O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H],4.89,,5.0886,461.23,2,5,6,130.4263,88.52,5.3022
[O-]Cl=O.[Na+],-0.259,,191.84022,89.95,0,2,0,0.0,46.12,-5.374
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,1.93,0.17,19.4842494,384.2,4,6,9,105.0095,124.44,0.3606
C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,,,9.032265,391.15,1,7,2,109.8257,74.73,3.1591
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,2.55,0.02807,21.2092848,354.1,0,4,2,91.068,66.92,1.9281
C(=C(Cl)Cl)(Cl)Cl,3.4,0.2463,0.13942764,163.88,0,0,0,30.438,0.0,3.0682
C(=C(Cl)Cl)Cl,2.51,0.295,27.936414,129.91,0,0,0,25.642,0.0,2.5017
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,1.68,0.09194,4.5568413,253.97,2,4,3,51.7582,85.44,1.5731
C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,5.02,0.001515,30.353499,498.95,1,2,7,53.7912,60.16,4.2418
C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,4.29,0.00703,450.3411,691.58,0,4,12,104.9895,44.76,5.6195
C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,3.65,0.01078,12.9555756,427.88,0,4,12,86.5455,44.76,4.6829
C(C(F)(Cl)Cl)(F)(F)Cl,3.16,0.3622,0.64218132,185.9,0,0,1,26.345,0.0,2.9189
C(C(F)(F)F)(C(F)(F)F)F,1.85,0.4582,12.8436264,170.0,0,0,0,17.006,0.0,2.4491
C(C(F)(F)F)(Cl)Cl,2.18,0.5388,130.980564,151.94,0,0,0,21.549,0.0,2.3524
C(C(F)(F)F)F,0.83,0.8572,0.2569743,102.01,0,0,0,12.03,0.0,1.5182
C(CCC(=O)NN)CC(=O)NN,-0.29,0.9601,1.53115974,174.11,4,4,5,43.1282,110.24,-1.4734
C(CCl)Cl,1.48,0.6167,54.295362,97.97,0,0,1,21.44,0.0,1.464
C(CCl)OP(=O)(OCCCl)OCCCl,1.44,0.44,5.190372,283.95,0,4,9,57.6225,44.76,2.8607
C(Cl)(Cl)(Cl)Cl,2.83,0.6105,10.8921483,151.88,0,0,0,26.143,0.0,2.5529
C(Cl)(Cl)Cl,1.97,0.5672,118.233621,117.91,0,0,0,21.347,0.0,1.9864
C(CNCCN)N,-0.83,0.9678,5.0962329,103.11,3,3,4,30.9785,64.07,-1.5066
C(F)(F)(Cl)Cl,2.16,0.773,0.64218132,119.93,0,0,0,16.653,0.0,2.0143
C(F)(F)(F)Br,1.86,0.838,12.8436264,147.91,0,0,0,14.982,0.0,1.9011
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,0.0,0.8457,4.8010941,237.08,0,5,5,55.1605,65.07,1.3959
C/C(=C\C(=O)NC)/OP(=O)(OC)OC,-0.2,0.898,3.791007,223.06,1,5,5,50.5332,73.86,1.0537
C/C(=N\OC(=O)N(SN(C(=O)O/N=C(/SC)\C)C)C)/SC,1.7,,2134.6677,354.05,0,9,4,89.327,83.8,3.0792
C[As](=O)(C)O,0.74,0.9058,0.50275368,137.97,1,1,0,20.3873,37.3,0.111
C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,2.75,0.02436,45.135882,311.11,1,4,3,91.6547,44.7,3.4901
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,1.37,0.64,4.172652,275.16,1,4,1,78.3157,44.81,1.7739
