,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
0,[2H]C([2H])([2H])C(c1cc(-c2cccnc2O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H],4.89,,2.0,461.23,2.0,5.0,6.0,130.4263,88.52
1,[O-]Cl=O.[Na+],-0.259,,75.4,89.95,0.0,2.0,0.0,0.0,46.12
2,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,1.93,0.17,7.658,384.2,4.0,6.0,9.0,105.0095,124.44
3,C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,,,3.55,391.15,1.0,7.0,2.0,109.8257,74.73
4,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,2.55,0.02807,8.336,354.1,0.0,4.0,2.0,91.068,66.92
5,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,2.98,0.378,0.0,263.88,0.0,2.0,0.0,55.912,47.58
6,C(=C(Cl)Cl)(Cl)Cl,3.4,0.2463,0.0548,163.88,0.0,0.0,0.0,30.438,0.0
7,C(=C(Cl)Cl)Cl,2.51,0.295,10.98,129.91,0.0,0.0,0.0,25.642,0.0
8,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4,8.05e-09,0.0,563.96,1.0,1.0,9.0,58.2138,37.3
9,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,4.15,0.00284,0.0,513.97,1.0,1.0,8.0,53.2668,37.3
10,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,3.54,0.000992,0.0,463.97,1.0,1.0,7.0,48.3198,37.3
11,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.06,0.00164,0.0,363.98,1.0,1.0,5.0,38.4258,37.3
12,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.85,0.01676,0.0,313.98,1.0,1.0,4.0,33.4788,37.3
13,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,1.68,0.09194,1.791,253.97,2.0,4.0,3.0,51.7582,85.44
14,C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,5.02,0.001515,11.93,498.95,1.0,2.0,7.0,53.7912,60.16
15,C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,4.29,0.00703,177.0,691.58,0.0,4.0,12.0,104.9895,44.76
16,C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,3.65,0.01078,5.092,427.88,0.0,4.0,12.0,86.5455,44.76
17,C(C(F)(Cl)Cl)(F)(F)Cl,3.16,0.3622,0.2524,185.9,0.0,0.0,1.0,26.345,0.0
18,C(C(F)(F)F)(C(F)(F)F)F,1.85,0.4582,5.048,170.0,0.0,0.0,0.0,17.006,0.0
19,C(C(F)(F)F)(Cl)Cl,2.18,0.5388,51.48,151.94,0.0,0.0,0.0,21.549,0.0
20,C(C(F)(F)F)F,0.83,0.8572,0.101,102.01,0.0,0.0,0.0,12.03,0.0
21,C(CCC(=O)NN)CC(=O)NN,-0.29,0.9601,0.6018,174.11,4.0,4.0,5.0,43.1282,110.24
22,C(CCl)Cl,1.48,0.6167,21.34,97.97,0.0,0.0,1.0,21.44,0.0
23,C(CCl)OP(=O)(OCCCl)OCCCl,1.44,0.44,2.04,283.95,0.0,4.0,9.0,57.6225,44.76
24,C(Cl)(Cl)(Cl)Cl,2.83,0.6105,4.281,151.88,0.0,0.0,0.0,26.143,0.0
25,C(Cl)(Cl)Cl,1.97,0.5672,46.47,117.91,0.0,0.0,0.0,21.347,0.0
26,C(CNCCN)N,-0.83,0.9678,2.003,103.11,3.0,3.0,4.0,30.9785,64.07
27,C(F)(F)(Cl)Cl,2.16,0.773,0.2524,119.93,0.0,0.0,0.0,16.653,0.0
28,C(F)(F)(F)Br,1.86,0.838,5.048,147.91,0.0,0.0,0.0,14.982,0.0
29,C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,0,0.8457,1.887,237.08,0.0,5.0,5.0,55.1605,65.07
30,C/C(=C\C(=O)NC)/OP(=O)(OC)OC,-0.2,0.898,1.49,223.06,1.0,5.0,5.0,50.5332,73.86
31,C/C(=C\C1=CC=C(C=C1)OCCN2CCOCC2)/C3=CC4=C(C=C3)C(CCC4(C)C)(C)C,6.38,0.0,0.0,433.3,0.0,3.0,6.0,134.469,21.7
32,C/C(=N\OC(=O)N(SN(C(=O)O/N=C(/SC)\C)C)C)/SC,1.7,,839.0,354.05,0.0,9.0,4.0,89.327,83.8
33,C[As](=O)(C)O,0.74,0.9058,0.1976,137.97,1.0,1.0,0.0,20.3873,37.3
34,C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,2.75,0.02436,17.74,311.11,1.0,4.0,3.0,91.6547,44.7
35,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,0.24,0.24,0.0,346.14,3.0,5.0,1.0,85.1734,104.06
36,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,1.37,0.64,1.64,275.16,1.0,4.0,1.0,78.3157,44.81
37,C[C@@H](C1=CC=C(C=C1)C2=C(C=C(C=C2)F)F)N3CC[C@](OC3=O)(CCO)C4=CC=C(C=C4)F,2.77,0.008,3.72,455.17,1.0,3.0,6.0,117.7938,49.77
38,C[C@@H](C1=CC=CC=C1F)SC2=NC3=C(C(=N2)N[C@H](CC(C)C)CO)SC(=N3)N,,,30.9,421.14,3.0,8.0,8.0,114.2459,96.95
39,C[C@@H](C1=NC=C(C=C1)F)NC2=NC(=CN=C2C#N)NC3=NNC(=C3)C4CC4,,,7.94,364.16,3.0,7.0,6.0,96.8251,115.2
40,C[C@@H](CN[C@@H]1COC2=CC=CC=C2SC1)CSC3=CC=CC=C3OC,,,51.29,375.13,1.0,5.0,7.0,107.3337,30.49
41,C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,4.88,0.015,23.0,382.14,2.0,2.0,4.0,108.2655,56.33
42,C[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.08,,0.7,541.11,1.0,5.0,7.0,135.3596,100.98
43,C[C@@H](Nc1cc(F)cc(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,4.3,0.06,12.0,473.15,1.0,6.0,5.0,126.9812,75.02
44,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,3.78,0.19,4.0,457.18,1.0,6.0,5.0,121.9292,75.02
