,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
0,O=C(CO)N1CCC(c2[nH]nc(-c3ccc(Cl)cc3F)c2-c2ccncn2)CC1,1,,3.0,415.12,2,5,4,105.6585,95.0
1,Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1N2,3.17,0.0135,0.0,353.07,2,5,2,96.4548,96.21
2,Cc1ccc([N+](=O)[O-])cc1,2.37,0.2659,19.32,137.05,0,2,1,37.8334,43.14
3,Cc1ccc(N(C)C)cc1,2.81,0.05498,20.38,135.1,0,1,1,45.506,3.24
4,COC(=O)c1ccc(O)cc1,1.96,0.07056,107.5,152.05,1,3,1,39.4463,46.53
5,CCC(C)c1ccc(O)cc1,3.08,0.0608,19.03,150.1,1,1,2,46.8128,20.23
6,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,1.49,0.391,0.0,168.02,0,4,2,39.7508,86.28
7,CC(C)c1cccc(C(C)C)c1,4.12,0.01237,7.788,162.14,0,0,2,54.62,0.0
8,COc1ccc([N+](=O)[O-])cc1N,1.47,0.3359,12.03,168.05,1,4,2,44.0608,78.39
9,Cc1ccc([N+](=O)[O-])cc1N,1.87,,22.4,152.06,1,3,1,42.2458,69.16
10,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,3.12,1.21e-07,387.0,190.95,0,2,1,43.1164,43.14
11,Cc1ccc([N+](=O)[O-])cc1C,2.91,,454.0,151.06,0,2,1,42.5704,43.14
12,Cc1ccc2nc(C(=O)O)[nH]c2c1,0.68,,9.77,176.06,2,2,1,47.79,65.98
13,CCC(C)(C)OC,1.73,0.8097,10.6,102.1,0,1,2,31.379,9.23
14,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,2.8,0.0,4.434,205.96,1,3,1,47.5288,69.16
15,CN(C)c1cccc(O)c1,1.56,0.242,0.0,137.08,1,2,1,42.4338,23.47
16,Cc1ccn2nc(S(=O)(=O)Nc3c(F)cccc3F)nc2n1,1.61,0.01727,7.521,325.04,1,6,3,72.6855,89.25
17,O=[N+]([O-])c1ccccc1,1.85,0.3844,8.168,123.03,0,2,1,33.0964,43.14
18,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1.99,0.15,135.0,458.08,8,11,3,108.9209,197.37
19,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c2cc1C,4.08,3.14e-07,0.0,443.23,2,4,7,137.3209,61.66
20,CCOP(=O)(SC(C)CC)N1CCSC1=O,1.68,0.4599,0.0,283.05,0,5,6,71.1365,46.61
21,CC(=O)c1ccccc1,1.58,0.326,0.0,120.06,0,1,1,36.4465,17.07
22,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,3.03,0.095,4.5,372.28,2,2,1,106.8424,58.2
23,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,4.75,0.0,13.25,401.05,0,5,5,88.429,47.03
24,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cc(Cl)cc12)C1CCCCN1,3.77,0.32,32.29,412.08,2,3,2,87.3585,45.15
25,CCOc1nc(NC)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC)n1,1.59,0.01566,1.079,410.1,3,10,7,97.6644,161.5
26,CCN(CC)C(=S)SSC(=S)N(CC)CC,3.88,0.08601,28.46,296.05,0,4,4,86.22,6.48
27,CN(C)C(=S)SC(=S)N(C)C,0.94,0.6276,18.06,208.02,0,3,0,60.161,6.48
28,CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC21CCC(=O)O1,2.68,,6.61,340.2,0,3,0,94.673,43.37
29,Cc1cc(N=Nc2ccccc2C)ccc1N,3.78,0.00696,6.89,225.13,1,3,2,70.9464,50.74
30,C=CCc1ccc(O)c(OC)c1,2.27,0.1922,103.6,164.08,1,2,3,48.5598,29.46
31,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,4.36,0.000941,21.85,441.16,2,6,5,120.2305,84.86
32,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,4.26,0.0045,13.2,268.01,2,2,2,69.0396,40.46
33,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,5.19,0.144,2.52,206.17,1,1,0,65.5068,20.23
34,CCc1ccc(O)c(C(C)(C)C)c1,3.81,0.0454,102.0,178.14,1,1,1,56.1848,20.23
35,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,6.37,0.0,63.93,364.14,0,4,3,103.206,34.89
36,CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,2.07,0.3269,34.62,288.12,0,6,7,72.3445,70.54
37,CCOP(=S)(Oc1cnc(C(C)(C)C)nc1)OC(C)C,3.54,0.0,22.64,318.12,0,6,6,83.492,53.47
38,Clc1cc(Cl)c(Cl)cc1Cl,4.62,0.000993,8.842,213.89,0,0,0,46.482,0.0
39,Cc1ccc(C)c(O)c1,2.33,,33.8,122.07,1,1,0,37.5808,20.23
40,Nc1ccc(Cl)cc1N,1.28,0.373,31.6,142.03,2,2,0,40.2768,52.04
41,Cc1ccc(N)cc1N,0.14,,0.0,122.08,2,2,0,40.0038,52.04
42,CN(C)C(=O)C(c1ccccc1)c1ccccc1,2.81,0.301,0.0,239.13,0,1,3,73.421,20.31
43,Cc1ccc(N)cc1Cl,1.93,0.145,65.3,141.03,1,1,0,40.6014,26.02
44,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,4.2,0.000907,16.86,321.14,0,4,7,92.78,40.58
45,Cc1ccc(C)c(C)c1,3.63,0.1556,9.32,120.09,0,0,0,40.653,0.0
46,Cc1ccccc1O,1.95,0.38,27.48,108.06,1,1,0,32.8438,20.23
47,CCOC(=O)C1CC(=O)C(C(=O)C2CC2)C(=O)C1,1.6,0.137,3.82,252.1,0,5,4,60.592,77.51
48,O=c1[nH]c2cc(Cl)ccc2o1,1.41,,10.96,168.99,1,2,0,41.8447,46.0
49,c1ccc2scnc2c1,2.01,,18.9,135.01,0,2,0,39.62,12.89
50,c1ccc2[nH]nnc2c1,1.44,0.287,0.0,119.05,1,2,0,33.8887,41.57
51,COc1nn(CSP(=S)(OC)OC)c(=O)s1,2.2,0.2685,3.924,301.96,0,9,6,68.82,62.58
52,CC(CN=Cc1ccccc1O)N=Cc1ccccc1O,3.07,,59.17,282.14,2,4,5,85.7306,65.18
53,C=CCc1ccc2c(c1)OCO2,2.06,0.01789,14.12,162.07,0,2,2,46.466,18.46
54,CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,3.6,0.01,2.7,337.08,0,4,3,94.6778,60.17
55,CCOc1ccc2nc(N)sc2c1,1.52,,12.02,194.05,1,4,2,55.2014,48.14
56,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,2.42,,3.0,410.17,1,8,3,100.7414,89.63
57,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,2.9,0.1086,1.538,291.11,1,4,5,77.2588,50.94
58,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,3.6,0.0,22.62,402.3,0,6,19,110.168,71.06
59,CCCCOC(=O)c1ccc(O)cc1,3.56,0.04157,39.3,194.09,1,3,4,53.2973,46.53
60,O=C(OCc1ccccc1)c1ccc(O)cc1,3.56,0.00674,633.0,228.08,1,3,3,63.6683,46.53
61,CCCOC(=O)c1ccc(O)cc1,3.04,0.07639,38.0,180.08,1,3,3,48.6803,46.53
62,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)n1,1.89,0.0,10.37,419.09,2,7,6,91.2742,123.17
63,CCOc1ccccc1C(N)=O,1.14,0.5,1.3,165.08,1,2,3,46.1289,52.32
64,O=C(O)COc1cc(Cl)c(Cl)cc1Cl,3.31,0.0127,0.0,253.93,1,2,3,54.6028,46.53
65,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,3.03,0.005,3.816,490.22,3,5,7,128.5219,124.68
66,O=c1ccc2ccc(O)cc2o1,1.58,,49.5,162.03,1,3,0,44.1488,50.44
