seed,framework,model_type,feature_type,valid_MSE,valid_MAE,valid_r2,valid_rm2,valid_CI,test_MSE,test_MAE,test_r2,test_rm2,test_CI
241,ChemBERTa-Only,mlp,default,0.02034,0.10931,0.34719,0.3467,0.69578,1.45297,0.90739,0.16681,0.21351,0.70784
241,ChemBERTa-Only,mlp,features,0.03101,0.12875,0.27474,0.28249,0.63245,1.48553,0.94062,0.14814,0.20746,0.65074
241,ChemBERTa-Only,mlp,rdkit,0.02737,0.12395,0.11608,0.23258,0.71363,1.54729,0.93408,0.11272,0.20159,0.66163
241,ChemBERTa-Only,mlp,all,0.02654,0.1276,0.38144,0.3959,0.68227,1.40438,0.90897,0.19467,0.25276,0.66563
342,ChemBERTa-Only,mlp,default,0.02858,0.12785,0.00615,0.18398,0.63977,1.38463,0.90817,0.28187,0.28016,0.71434
342,ChemBERTa-Only,mlp,features,0.0321,0.13848,0.12935,0.17369,0.59371,1.27593,0.84638,0.33824,0.3213,0.73133
342,ChemBERTa-Only,mlp,rdkit,0.02774,0.12621,0.04209,0.15023,0.60545,1.38882,0.88209,0.27969,0.29076,0.70695
342,ChemBERTa-Only,mlp,all,0.02838,0.12893,0.23272,0.23408,0.66327,1.30997,0.83715,0.32059,0.30586,0.72284
510,ChemBERTa-Only,mlp,default,0.02468,0.12125,0.11268,0.16732,0.65348,1.33214,0.93135,0.11481,0.27268,0.68772
510,ChemBERTa-Only,mlp,features,0.03011,0.1353,0.28863,0.28385,0.63534,1.33558,0.92473,0.11252,0.16403,0.63093
510,ChemBERTa-Only,mlp,rdkit,0.02948,0.13178,-0.05582,0.11327,0.55539,1.20949,0.8623,0.19631,0.24082,0.67376
510,ChemBERTa-Only,mlp,all,0.03134,0.139,0.26224,0.34719,0.67903,1.319,0.92899,0.12354,0.23765,0.6578
