seed,framework,model_type,feature_type,valid_MSE,valid_MAE,valid_r2,valid_rm2,valid_CI,test_MSE,test_MAE,test_r2,test_rm2,test_CI
241,Ours,mlp,default,0.00226,0.03824,0.93427,0.79296,0.93655,1.26539,0.86519,0.27438,0.28537,0.7164
241,Ours,mlp,features,0.00264,0.04128,0.93171,0.75892,0.93998,1.38143,0.89266,0.20783,0.25355,0.67652
241,Ours,mlp,rdkit,0.0023,0.03796,0.9323,0.77151,0.9328,1.31342,0.86471,0.24683,0.25762,0.70407
241,Ours,mlp,all,0.0035,0.04901,0.90966,0.72671,0.93517,1.35492,0.91519,0.22304,0.22972,0.66563
342,Ours,mlp,default,0.0017,0.03197,0.9467,0.88286,0.94416,1.31404,0.85663,0.31848,0.30889,0.70405
342,Ours,mlp,features,0.0029,0.04336,0.9164,0.82006,0.94587,1.28327,0.81861,0.33443,0.33993,0.73413
342,Ours,mlp,rdkit,0.00195,0.03432,0.93828,0.86732,0.9417,1.49684,0.89149,0.22367,0.28858,0.71104
342,Ours,mlp,all,0.0017,0.03209,0.95101,0.83376,0.94446,1.26424,0.82144,0.3443,0.354,0.73553
510,Ours,mlp,default,0.00211,0.03602,0.93728,0.84872,0.93244,1.17039,0.84425,0.22229,0.31248,0.71467
510,Ours,mlp,features,0.00218,0.03569,0.94331,0.84005,0.93164,1.2203,0.89083,0.18913,0.24167,0.65858
510,Ours,mlp,rdkit,0.00244,0.03929,0.9266,0.73783,0.94748,1.02347,0.78507,0.31991,0.32527,0.72688
510,Ours,mlp,all,0.00195,0.0339,0.94896,0.83268,0.94491,1.21037,0.87146,0.19572,0.24163,0.67036
2334,Ours,mlp,default,0.00189,0.03415,0.9424,0.87414,0.93806,1.36567,0.89667,0.18741,0.1981,0.63597
2334,Ours,mlp,features,0.00182,0.03358,0.95509,0.84926,0.93821,1.32704,0.89586,0.21039,0.22229,0.6606
2334,Ours,mlp,rdkit,0.00246,0.03915,0.92451,0.81448,0.93922,1.46104,0.94668,0.13066,0.17403,0.61625
2334,Ours,mlp,all,0.00181,0.0325,0.95538,0.84131,0.93258,1.42457,0.92395,0.15236,0.19564,0.66559
3745,Ours,mlp,default,0.00269,0.04119,0.91635,0.74284,0.92903,1.55332,0.91873,0.11109,0.17697,0.64845
3745,Ours,mlp,features,0.00229,0.03695,0.93903,0.83547,0.93416,1.45995,0.89927,0.16452,0.18929,0.62736
3745,Ours,mlp,rdkit,0.00242,0.0386,0.92423,0.81882,0.92457,1.46924,0.88211,0.15921,0.18891,0.643
3745,Ours,mlp,all,0.00332,0.04414,0.91201,0.77484,0.91985,1.4564,0.8876,0.16656,0.19135,0.64918
241,ChemBERTa-Only,mlp,default,0.02034,0.10931,0.34719,0.3467,0.69578,1.45297,0.90739,0.16681,0.21351,0.70784
241,ChemBERTa-Only,mlp,features,0.03101,0.12875,0.27474,0.28249,0.63245,1.48553,0.94062,0.14814,0.20746,0.65074
241,ChemBERTa-Only,mlp,rdkit,0.02737,0.12395,0.11608,0.23258,0.71363,1.54729,0.93408,0.11272,0.20159,0.66163
241,ChemBERTa-Only,mlp,all,0.02654,0.1276,0.38144,0.3959,0.68227,1.40438,0.90897,0.19467,0.25276,0.66563
342,ChemBERTa-Only,mlp,default,0.02858,0.12785,0.00615,0.18398,0.63977,1.38463,0.90817,0.28187,0.28016,0.71434
342,ChemBERTa-Only,mlp,features,0.0321,0.13848,0.12935,0.17369,0.59371,1.27593,0.84638,0.33824,0.3213,0.73133
342,ChemBERTa-Only,mlp,rdkit,0.02774,0.12621,0.04209,0.15023,0.60545,1.38882,0.88209,0.27969,0.29076,0.70695
342,ChemBERTa-Only,mlp,all,0.02838,0.12893,0.23272,0.23408,0.66327,1.30997,0.83715,0.32059,0.30586,0.72284
510,ChemBERTa-Only,mlp,default,0.02468,0.12125,0.11268,0.16732,0.65348,1.33214,0.93135,0.11481,0.27268,0.68772
510,ChemBERTa-Only,mlp,features,0.03011,0.1353,0.28863,0.28385,0.63534,1.33558,0.92473,0.11252,0.16403,0.63093
510,ChemBERTa-Only,mlp,rdkit,0.02948,0.13178,-0.05582,0.11327,0.55539,1.20949,0.8623,0.19631,0.24082,0.67376
510,ChemBERTa-Only,mlp,all,0.03134,0.139,0.26224,0.34719,0.67903,1.319,0.92899,0.12354,0.23765,0.6578
