seed,framework,Layer_type,feature_type,valid_MSE,valid_MAE,valid_r2,valid_rm2,valid_CI,test_MSE,test_MAE,test_r2,test_rm2,test_CI
241,Ours,mlp,default,0.00177,0.03274,0.94844,0.88564,0.94176,1.3601,0.90492,0.20531,0.2621,0.70348
241,Ours,mlp,features,0.00208,0.03536,0.94611,0.88277,0.92492,1.36257,0.92431,0.20386,0.21916,0.67019
241,Ours,mlp,rdkit,0.00252,0.03976,0.92589,0.76523,0.93749,1.29877,0.86398,0.24114,0.24822,0.69673
241,Ours,mlp,all,0.00263,0.03961,0.93209,0.90788,0.91388,1.37101,0.91305,0.19893,0.28793,0.69099
342,Ours,mlp,default,0.00195,0.03423,0.93881,0.81359,0.94482,1.34575,0.86165,0.26769,0.3085,0.71367
342,Ours,mlp,features,0.00149,0.03011,0.95725,0.83736,0.94759,1.2537,0.80347,0.31779,0.30509,0.72628
342,Ours,mlp,rdkit,0.00183,0.03325,0.94232,0.83182,0.93755,1.39437,0.87652,0.24124,0.27929,0.72085
342,Ours,mlp,all,0.00195,0.03305,0.94398,0.85402,0.94169,1.22218,0.83192,0.33494,0.31949,0.72791
510,Ours,mlp,default,0.00195,0.03425,0.94204,0.80787,0.94616,1.19918,0.85539,0.20316,0.27062,0.69778
510,Ours,mlp,features,0.00174,0.03324,0.95484,0.82386,0.94744,1.30031,0.91772,0.13596,0.18714,0.65521
510,Ours,mlp,rdkit,0.00273,0.04189,0.91792,0.75914,0.9371,1.27007,0.89325,0.15605,0.26077,0.70414
510,Ours,mlp,all,0.00152,0.031,0.96013,0.86498,0.93444,1.15136,0.85534,0.23493,0.23869,0.67173
2334,Ours,mlp,default,0.00178,0.03247,0.94594,0.81172,0.94055,1.23904,0.86508,0.21989,0.23334,0.66307
2334,Ours,mlp,features,0.00158,0.03058,0.961,0.90489,0.95007,1.24446,0.86756,0.21648,0.22302,0.66972
2334,Ours,mlp,rdkit,0.00228,0.03761,0.93012,0.7515,0.93764,1.2803,0.89296,0.19392,0.21552,0.64758
2334,Ours,mlp,all,0.00141,0.02934,0.96519,0.90567,0.95312,1.22593,0.85703,0.22815,0.24969,0.68804
3745,Ours,mlp,default,0.00257,0.03971,0.9201,0.81032,0.92405,1.27356,0.82899,0.23307,0.23674,0.68634
3745,Ours,mlp,features,0.00234,0.03676,0.93788,0.88855,0.91746,1.38482,0.8813,0.16607,0.1905,0.65468
3745,Ours,mlp,rdkit,0.00276,0.04204,0.91368,0.75704,0.92011,1.44428,0.86039,0.13026,0.19364,0.66548
3745,Ours,mlp,all,0.00317,0.04313,0.9159,0.75622,0.93372,1.45759,0.90843,0.12224,0.17358,0.64892
241,ChemBERTa-Only,mlp,default,0.0024,0.03864,0.93017,0.85349,0.94318,1.24899,0.86911,0.27023,0.31387,0.71651
241,ChemBERTa-Only,mlp,features,0.00192,0.03356,0.95047,0.86756,0.94203,1.34739,0.90219,0.21273,0.25585,0.68453
241,ChemBERTa-Only,mlp,rdkit,0.0035,0.04811,0.89709,0.72959,0.93514,1.15769,0.83128,0.32357,0.30894,0.7109
241,ChemBERTa-Only,mlp,all,0.00218,0.03671,0.94366,0.84514,0.93281,1.17199,0.84629,0.31522,0.33593,0.71583
342,ChemBERTa-Only,mlp,default,0.00243,0.03936,0.92401,0.75638,0.92717,1.25227,0.83205,0.31856,0.31408,0.7154
342,ChemBERTa-Only,mlp,features,0.00247,0.03841,0.92893,0.8292,0.93901,1.37885,0.86796,0.24968,0.28136,0.71909
342,ChemBERTa-Only,mlp,rdkit,0.00318,0.04577,0.89967,0.78544,0.92587,1.22619,0.82959,0.33276,0.31567,0.72263
342,ChemBERTa-Only,mlp,all,0.00334,0.04797,0.90411,0.8223,0.93005,1.22601,0.84798,0.33285,0.31665,0.71859
510,ChemBERTa-Only,mlp,default,0.00428,0.05449,0.87241,0.72195,0.92796,1.07531,0.80977,0.28547,0.28026,0.69703
510,ChemBERTa-Only,mlp,features,0.00258,0.04026,0.93288,0.77861,0.92568,1.16244,0.86397,0.22757,0.24914,0.68037
510,ChemBERTa-Only,mlp,rdkit,0.00262,0.04051,0.92119,0.77297,0.92948,1.13251,0.83135,0.24746,0.27647,0.69596
510,ChemBERTa-Only,mlp,all,0.00247,0.0389,0.93527,0.80096,0.93701,1.2812,0.89966,0.14866,0.19391,0.65621
2334,ChemBERTa-Only,mlp,default,0.00196,0.03441,0.94027,0.84719,0.92968,1.33316,0.90579,0.16063,0.19951,0.64544
2334,ChemBERTa-Only,mlp,features,0.00235,0.0388,0.94192,0.76113,0.94064,1.36942,0.91262,0.13781,0.20153,0.66911
2334,ChemBERTa-Only,mlp,rdkit,0.00226,0.03756,0.93068,0.86858,0.93567,1.39313,0.9196,0.12288,0.17118,0.63586
2334,ChemBERTa-Only,mlp,all,0.00178,0.033,0.95607,0.84241,0.93891,1.27216,0.8733,0.19904,0.2175,0.66115
3745,ChemBERTa-Only,mlp,default,0.00211,0.0368,0.93438,0.80369,0.9368,1.41262,0.86488,0.14933,0.20253,0.66791
3745,ChemBERTa-Only,mlp,features,0.00189,0.03401,0.94984,0.86953,0.93177,1.29404,0.84992,0.22074,0.22101,0.66545
3745,ChemBERTa-Only,mlp,rdkit,0.00292,0.04394,0.90867,0.72633,0.93243,1.39659,0.86484,0.15898,0.19927,0.67735
3745,ChemBERTa-Only,mlp,all,0.0026,0.0384,0.93106,0.80186,0.93347,1.4248,0.90697,0.14199,0.17568,0.65629
