SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,3.7561554957626577,4.4237667316091045,400-500,100-150,7-10,7-10,<1,2-3,0.2113074400041576
C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,3.1765836902758187,4.086293909171261,300-400,50-75,3-5,1-3,1-3,>=4,0.2879348446805218
O=[N+]([O-])c1ccccc1,3.6137556944241482,3.081076705295394,<200,<50,<3,1-3,<1,1-2,0.1685996692282881
Oc1ccccc1O,4.564025962613471,4.687891364891228,<200,<50,<3,1-3,1-3,0-1,0.03920497387557162
Clc1ccc(Cl)cc1,3.6590392434467964,5.804408801706431,<200,<50,<3,<1,<1,3-4,0.6790367280801157
C1=CC=C2C(=C1)N=C(S2)SCSC#N,3.1526812561617517,4.334820764847144,200-300,<50,3-5,5-7,<1,3-4,0.3741621768713563
CCCSC(=O)N(CCC)CCC,3.774230120359759,4.172260856834855,200-300,<50,5-7,1-3,<1,3-4,0.1259817861826205
CNC(=O)Oc1ccccc1OC(C)C,3.947238045103578,2.9206382762063954,200-300,<50,3-5,3-5,1-3,1-2,0.3249318726631164
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,3.496895704910298,3.7440432160689308,300-400,50-75,5-7,3-5,1-3,3-4,0.07822532797866423
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,3.5897470019133575,4.964426385618068,300-400,75-100,7-10,7-10,<1,1-2,0.4351034940699334
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1.8265871622011212,1.474454769386837,200-300,75-100,5-7,3-5,1-3,2-3,0.11145437714777912
CCCCCCCCn1sccc1=O,4.198914980034021,3.507462368162881,200-300,<50,7-10,3-5,<1,2-3,0.21885353848700762
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,2.018970307186506,1.4991894926346008,400-500,75-100,<3,5-7,1-3,>=4,0.1645172330675109
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.4457133885822673,3.6137144581226854,200-300,50-75,5-7,5-7,<1,2-3,0.05317447343068883
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],2.3435422851285717,1.0436381581317689,300-400,100-150,5-7,5-7,3-5,1-2,0.4114361750941398
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,4.402570964224871,4.364386330371385,300-400,50-75,7-10,5-7,<1,3-4,0.012085921856671877
CC(C)(c1ccccc1)c1ccc(O)cc1,3.9585057140179276,4.251418963806454,200-300,<50,<3,1-3,1-3,3-4,0.09271076583610402
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,2.368830000689862,1.9378037810571842,500-600,100-150,>=10,>=10,1-3,3-4,0.1364252759014371
Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,3.245753627681485,2.7234519298767377,300-400,<50,<3,1-3,<1,3-4,0.16531512465187298
CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,3.0306930510046675,1.9378037810571842,300-400,50-75,<3,3-5,1-3,2-3,0.3459133421381355
C(C(F)(F)F)F,3.0045394008244375,0.22870748389392712,<200,<50,<3,<1,<1,0-1,0.878586076378333
