SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,5.557497094310686,6.089416461728909,300-400,75-100,>=10,5-7,1-3,2-3,0.17785553429672468
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,3.969566885272395,4.489575995561223,200-300,50-75,7-10,5-7,<1,2-3,0.17387315411823723
FC(F)(F)Br,0.39835477617551834,2.627824938988848,<200,<50,<3,<1,<1,1-2,0.745458111311827
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,2.6475321669081184,5.552859967556872,300-400,50-75,5-7,3-5,1-3,>=4,0.971441650638813
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,2.8366843254920453,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4,0.8221736702078242
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,3.2191931460998524,3.8604004147232507,200-300,<50,<3,<1,<1,>=4,0.2143976481049841
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],3.5499141225024653,3.0801418020027165,300-400,50-75,5-7,5-7,<1,>=4,0.15707570014949712
CCc1ccc(O)c(C(C)(C)C)c1,3.915087944302964,5.562674259796112,<200,<50,<3,1-3,1-3,3-4,0.5508961741030352
Cc1ccc(N)cc1O,4.8901946212031655,3.7307121377158694,<200,<50,<3,1-3,1-3,0-1,0.3876910472526279
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],3.0487935796699315,3.0989053054127274,400-500,<50,3-5,1-3,<1,>=4,0.016755636854839873
COC(=O)NS(=O)(=O)c1ccc(N)cc1,1.113572977214775,1.7191421803255609,200-300,75-100,<3,5-7,1-3,<0,0.2024815052245092
CC1=CC(=CC=C1)[N+](=O)[O-],3.721593111320057,3.7795225326516717,<200,<50,<3,1-3,<1,2-3,0.019369605270141588
Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,1.5609191214914446,3.274991472994688,300-400,75-100,3-5,5-7,<1,0-1,0.5731268169074912
C1=CC=C(C(=C1)CC2=CC=CC=C2O)O,4.412038017773806,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.3181020982008897
CCCCOC(=O)C1=CC=CC=C1C(=O)O,3.430363503640494,1.0551306388705257,200-300,50-75,5-7,3-5,1-3,2-3,0.7941961434742258
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1.5127091097634406,4.244144362112037,300-400,<50,<3,1-3,<1,2-3,0.9132979657448835
CN1CCN(c2cc(Cl)c3[nH]c(Nc4ccc(Br)cn4)nc3c2)CC1,2.584038264491483,3.1738240641526563,400-500,50-75,3-5,5-7,1-3,3-4,0.19720407818293195
FC(F)(F)C(Cl)Cl,0.20415308868133705,4.882654669320898,<200,<50,<3,<1,<1,2-3,1.5643299516832239
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,4.506440412285949,4.120746704603301,300-400,50-75,5-7,5-7,<1,2-3,0.1289627049824019
CC1=C(C=C(C=C1)N)O,5.414095245429138,3.7307121377158694,<200,<50,<3,1-3,1-3,0-1,0.5628653897330661
