SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,5.504227842862055,6.089416461728909,300-400,75-100,>=10,5-7,1-3,2-3,0.1712430927229071
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,5.0578612881422895,4.489575995561223,200-300,50-75,7-10,5-7,<1,2-3,0.16629669120866078
FC(F)(F)Br,0.8789631280143876,2.627824938988848,<200,<50,<3,<1,<1,1-2,0.5117674807759554
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,3.115870863598256,5.552859967556872,300-400,50-75,5-7,3-5,1-3,>=4,0.7131334028709984
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,4.023986636540502,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4,0.3721080646152913
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,3.089726217620209,3.8604004147232507,200-300,<50,<3,<1,<1,>=4,0.22552153056089314
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],3.46591875722553,3.0801418020027165,300-400,50-75,5-7,5-7,<1,>=4,0.11288948004747817
CCc1ccc(O)c(C(C)(C)C)c1,3.6364109925315855,5.562674259796112,<200,<50,<3,1-3,1-3,3-4,0.5636802710272137
Cc1ccc(N)cc1O,4.9089903108584485,3.7307121377158694,<200,<50,<3,1-3,1-3,0-1,0.34479822736050286
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],3.573020302156633,3.0989053054127274,400-500,<50,3-5,1-3,<1,>=4,0.1387397425909441
COC(=O)NS(=O)(=O)c1ccc(N)cc1,1.221015417831938,1.7191421803255609,200-300,75-100,<3,5-7,1-3,<0,0.14576627881559187
CC1=CC(=CC=C1)[N+](=O)[O-],3.459537367551589,3.7795225326516717,<200,<50,<3,1-3,<1,2-3,0.09363690189889969
