SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,5.34804138843026,6.089416461728909,300-400,75-100,>=10,5-7,1-3,2-3,0.22985705774540344
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,3.8637660340278766,4.489575995561223,200-300,50-75,7-10,5-7,<1,2-3,0.19402707434685096
FC(F)(F)Br,0.5122881536560254,2.627824938988848,<200,<50,<3,<1,<1,1-2,0.6559042494714228
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,3.2957239501686253,5.552859967556872,300-400,50-75,5-7,3-5,1-3,>=4,0.6998058912064925
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,3.868125355530353,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4,0.4425735164271803
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,2.9330046512948864,3.8604004147232507,200-300,<50,<3,<1,<1,>=4,0.28753119604997157
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],2.9944642776641595,3.0801418020027165,300-400,50-75,5-7,5-7,<1,>=4,0.026563590237458263
CCc1ccc(O)c(C(C)(C)C)c1,4.003726371713096,5.562674259796112,<200,<50,<3,1-3,1-3,3-4,0.4833385794032809
Cc1ccc(N)cc1O,5.0830679623221755,3.7307121377158694,<200,<50,<3,1-3,1-3,0-1,0.41928646115087914
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],3.1913802753835654,3.0989053054127274,400-500,<50,3-5,1-3,<1,>=4,0.02867108064210403
COC(=O)NS(=O)(=O)c1ccc(N)cc1,1.6301285294421324,1.7191421803255609,200-300,75-100,<3,5-7,1-3,<0,0.027597927996426307
CC1=CC(=CC=C1)[N+](=O)[O-],3.6090794080741855,3.7795225326516717,<200,<50,<3,1-3,<1,2-3,0.05284444613709352
Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,2.863401261894764,3.274991472994688,300-400,75-100,3-5,5-7,<1,0-1,0.12761005640410472
C1=CC=C(C(=C1)CC2=CC=CC=C2O)O,4.976031156126895,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.1200998570900121
CCCCOC(=O)C1=CC=CC=C1C(=O)O,3.611411482306332,1.0551306388705257,200-300,50-75,5-7,3-5,1-3,2-3,0.7925532090372793
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,2.5012080114915376,4.244144362112037,300-400,<50,<3,1-3,<1,2-3,0.5403826427675884
CN1CCN(c2cc(Cl)c3[nH]c(Nc4ccc(Br)cn4)nc3c2)CC1,3.474116160923204,3.1738240641526563,400-500,50-75,3-5,5-7,1-3,3-4,0.09310301939443669
FC(F)(F)C(Cl)Cl,0.3246090787637873,4.882654669320898,<200,<50,<3,<1,<1,2-3,1.4131834023678063
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,4.113418575884002,4.120746704603301,300-400,50-75,5-7,5-7,<1,2-3,0.002272024197823304
CC1=C(C=C(C=C1)N)O,4.63282004293812,3.7307121377158694,<200,<50,<3,1-3,1-3,0-1,0.27969090994744883
Oc1c(Cl)cc(Cl)cc1Cl,4.00456797527879,3.8863167732990154,<200,<50,<3,1-3,1-3,3-4,0.03666278290284395
CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cc(C#N)cc(F)c3OC)cs2)cc1,2.40201569039979,2.6730991333599206,500-600,100-150,7-10,7-10,1-3,>=4,0.08404712384659435
COCC(C)CN1C(c2c(F)cc(C=CC(=O)O)cc2F)c2ccc(O)cc2CC1(C)C,3.10137789529356,5.415648744666953,400-500,50-75,7-10,3-5,1-3,>=4,0.7175200616013115
C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,2.6370542949991393,3.0949963717650415,<200,<50,3-5,1-3,<1,3-4,0.14198105948569892
Cc1ncc([N+](=O)[O-])n1CCO,3.3153253596331744,2.155580485727476,<200,75-100,3-5,5-7,1-3,<0,0.3595690684138939
CCOCN(C(=O)CCl)c1c(C)cccc1CC,3.6357402992284635,5.377718266768763,200-300,<50,5-7,1-3,<1,3-4,0.5400855042166153
CCNc1nc(NC(C)CC)nc(OC)n1,3.216680543278669,2.8687098799308086,200-300,50-75,5-7,5-7,1-3,3-4,0.10788535484876703
CCCCc1ccc(N)cc1,4.471092322655545,4.221997544129426,<200,<50,3-5,1-3,1-3,3-4,0.07722972480987624
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.7184464388234457,2.7638794249233287,300-400,75-100,<3,5-7,3-5,1-2,0.29595541196124026
C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2)O)O)O,4.028271600980691,4.001584511406435,200-300,75-100,<3,3-5,3-5,2-3,0.008274105928640443
COc1ccc(C)cc1N,4.096689346676177,3.925732183746517,<200,<50,<3,1-3,1-3,1-2,0.05300381937130983
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,3.5486618903838396,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4,0.28470096738972045
CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC,3.0079155072255617,4.964426385618068,300-400,75-100,7-10,7-10,<1,1-2,0.6065996148929269
C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,3.4502201686920007,3.0111742796952568,300-400,75-100,5-7,7-10,3-5,3-4,0.13612245662777178
Cc1nc(Nc2nc3cnc(N4CCN(C)CC4)cc3[nH]2)cc(C2CC2)c1F,3.5938902209076713,3.3928489637277615,300-400,50-75,3-5,5-7,1-3,3-4,0.062331137807483145
O=C(c1ccccc1)c1ccc(O)c(O)c1O,4.323079596040894,5.482381695498671,200-300,75-100,<3,3-5,3-5,2-3,0.35943178994917413
CC(C)N(C(=O)CCl)c1ccccc1,4.621926178409527,5.18367899998282,200-300,<50,3-5,1-3,<1,2-3,0.17416670103636026
CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,2.5932139629713444,1.9378037810571844,300-400,50-75,<3,3-5,1-3,2-3,0.20320437179101322
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,2.5245835042867273,3.126629742319561,>=600,100-150,>=10,7-10,3-5,3-4,0.18665933329157156
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,2.5904801386414644,2.5216684127124465,300-400,50-75,<3,1-3,1-3,3-4,0.02133449239135077
CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O,3.9219358228104615,4.565980400356549,200-300,<50,<3,1-3,1-3,2-3,0.19968056248903662
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,4.110021826899299,3.505936003984402,300-400,<50,<3,1-3,1-3,3-4,0.18729168929718587
C=CC#N,4.212339364220928,4.415189045335467,<200,<50,<3,1-3,<1,0-1,0.06289182432061424
Cc1ccc2ncccc2c1,4.4100355561909055,5.834624169952441,<200,<50,<3,1-3,<1,2-3,0.441681625199343
CC(C)(c1ccccc1)c1ccc(O)cc1,4.350305008971545,4.251418963806454,200-300,<50,<3,1-3,1-3,3-4,0.030658780167229293
O=C(Nc1ccccc1)Nc1ccnc(Cl)c1,2.8873405365950604,4.239387333544537,200-300,50-75,<3,1-3,1-3,3-4,0.419190649745129
FCC(F)(F)F,0.813948420209371,0.22870748389392712,<200,<50,<3,<1,<1,0-1,0.18144899193210842
CN1C(=NC(=N1)CO)NCCCOC2=CC=CC(=C2)CN3CCCCC3,2.776517069257608,3.3668578030321905,300-400,75-100,7-10,7-10,1-3,1-2,0.1830301409095611
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,1.734885607297374,1.9378037810571844,300-400,50-75,<3,3-5,1-3,2-3,0.0629130598847523
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,2.9131232005559506,1.931554990749573,300-400,100-150,5-7,7-10,1-3,2-3,0.30432690389582295
CC(C)(C)C1=CC(=CC=C1)O,3.6299123332618968,4.637452073382107,<200,<50,<3,1-3,1-3,3-4,0.31237915674069083
Cc1cccc(C)c1O,2.9836917520232795,3.974228231548844,<200,<50,<3,1-3,1-3,2-3,0.30710743990919004
O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,2.795489588145595,1.0228141710742014,300-400,75-100,5-7,3-5,3-5,2-3,0.5496029882589507
CC(Cl)CCl,3.106761568564567,4.987083563286031,<200,<50,<3,<1,<1,1-2,0.5829778972708161
CCC(C)(C(=O)CCl)NC(=O)C1=CC(=C(C(=C1)Cl)C)Cl,2.9888264586130946,2.455343930372117,300-400,<50,5-7,1-3,1-3,3-4,0.16540173620141801
CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,3.175219267308446,0.0023786338062618405,300-400,<50,3-5,3-5,<1,>=4,0.9837123461232
CCC(C)c1ccc(O)cc1,4.13545527162238,3.9003153171265224,<200,<50,<3,1-3,1-3,3-4,0.07290314989729012
C1=CC=C(C=C1)C[N+]2=CC=CC3=CC=CC=C32.[Cl-],3.2170637965947386,2.97547002364752,200-300,<50,<3,<1,<1,3-4,0.07490410160699947
CC1=C(C(=CC=C1)C)O,4.143585716970432,3.974228231548844,<200,<50,<3,1-3,1-3,2-3,0.0525078529184442
CC(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,3.5561667745760284,3.0111742796952568,300-400,75-100,5-7,7-10,3-5,3-4,0.1689703038021594
CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,2.0099749232972806,4.244144362112037,300-400,<50,<3,1-3,<1,2-3,0.6926852981794127
COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC,3.3329816475379794,3.963652753208905,300-400,<50,5-7,3-5,<1,2-3,0.19553423088472685
CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,3.2527096844099264,2.8073540561648045,300-400,50-75,3-5,3-5,1-3,3-4,0.13807873780177968
Clc1ccccc1CN1CCc2sccc2C1,3.815285969287584,4.970271451552798,200-300,<50,<3,1-3,<1,>=4,0.3580934593753108
CC(Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N1CCOCC1,3.3436931337993694,4.44220292070873,500-600,100-150,7-10,>=10,1-3,3-4,0.34058364870570784
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,2.6581790994015027,1.6220079968531347,400-500,100-150,7-10,5-7,3-5,1-2,0.32125606798845746
CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,2.699499429895449,2.3885175298036643,200-300,<50,<3,3-5,1-3,2-3,0.09641730230978192
CCCCSP(=O)(SCCCC)SCCCC,2.8082586563992433,5.766105825364386,300-400,<50,>=10,3-5,<1,>=4,0.9170554446804563
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,2.42438495827248,2.655377710446548,500-600,75-100,7-10,7-10,1-3,>=4,0.07161734496818715
CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F,2.54319718561044,4.3146133186036115,300-400,50-75,5-7,5-7,<1,3-4,0.5492125579039108
CCC1CC2C(CCC3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OCC23)NS1(=O)=O,1.7067753083319364,0.567181382230949,500-600,75-100,3-5,5-7,1-3,>=4,0.3533214378420117
CC#Cc1cncc(-c2cc(Cl)c([C@]3(C)CC(=O)N(C)C(=N)N3)s2)c1,1.8476210869553922,2.0630085059282193,300-400,50-75,<3,3-5,1-3,3-4,0.0667790436764887
CN(C)C(=S)SC(=S)N(C)C,3.402503651098782,3.849084441010271,200-300,<50,<3,3-5,<1,0-1,0.13845858879223802
Cc1ccc(C)c(O)c1C,4.634730390548337,5.600995681169267,<200,<50,<3,1-3,1-3,2-3,0.299582363506527
CC1=C(C(=CC=C1)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C,3.0663405515951045,3.6327328488112802,400-500,>=150,7-10,>=10,1-3,3-4,0.17560513113626874
CCCCCCCCn1sccc1=O,3.6260871988138645,3.507462368162881,200-300,<50,7-10,3-5,<1,2-3,0.03677862330555849
CCOC(=O)C1=CC2(CC)CCCN3CCc4c(n1c1ccccc41)C32,3.71488321880377,0.0023786338062618405,300-400,<50,3-5,3-5,<1,>=4,1.1510305802122545
CC(C)(C)C(/C(=C\C1=C(C=C(C=C1)Cl)Cl)/N2C=NC=N2)O,2.7725535788827322,2.025790746886462,300-400,50-75,3-5,3-5,1-3,>=4,0.23152748666415182
CC(C)OC1=CC=CC=C1OC(=O)NC,3.7614340692165493,2.9206382762063954,200-300,<50,3-5,3-5,1-3,1-2,0.2606816092239654
CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2,3.5105426129245956,4.668975156893465,300-400,50-75,5-7,5-7,<1,3-4,0.35916219163999785
CC1=CC=C(C=C1)C(=O)C2=CC=CC=C2,4.33232650713016,5.707865461243779,<200,<50,<3,1-3,<1,3-4,0.4264741939595528
CN(C)C(=O)NC1=CC=C(C=C1)Cl,2.6426529008730775,2.180610638099671,<200,<50,<3,1-3,1-3,1-2,0.14325228740505755
CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C,3.2533189683979256,2.8439957281910964,200-300,50-75,<3,5-7,<1,1-2,0.12690720129304375
COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],2.0669722010902105,3.613714458122686,200-300,50-75,5-7,5-7,<1,2-3,0.47955432694828504
CC(C)(C)NC(=O)NCCN1CCC(CC1)(CNC(=O)C2=CC(=CC(=C2)Cl)Cl)CO,3.057777651491758,2.9451568267153836,400-500,75-100,7-10,3-5,3-5,2-3,0.03491713217275932
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,1.3162394393855772,2.155580485727476,300-400,100-150,3-5,5-7,3-5,0-1,0.26023057734958327
CN1C2=C(C(=O)N(C1=O)C)NC=N2,2.257389354572111,1.0924268113183644,<200,50-75,<3,5-7,1-3,<0,0.3611867625714471
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,3.027510997719978,1.643385516382693,200-300,<50,<3,3-5,1-3,1-2,0.42913637394774845
CN1CCN(c2cc(Cl)c3nc(Nc4ccc(Br)cn4)[nH]c3c2)CC1,3.55551346824767,3.1738240641526563,400-500,50-75,3-5,5-7,1-3,3-4,0.11833956462484695
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,3.0346711019019574,2.201094789505169,200-300,75-100,3-5,5-7,1-3,2-3,0.2584432704505093
CC1=C(C(=C(C=C1)C)O)C,5.46715659305187,5.600995681169267,<200,<50,<3,1-3,1-3,2-3,0.04149567488034494
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,2.997639435204533,2.824560326210862,300-400,50-75,<3,5-7,<1,1-2,0.05366171076331178
CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC,2.541553931527446,2.6281924485456436,300-400,75-100,5-7,3-5,3-5,3-4,0.026861537872619877
CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,4.058581907157198,3.249656482282344,200-300,<50,<3,1-3,1-3,3-4,0.25080047170979375
CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,3.73214774487294,3.4509902175913845,500-600,75-100,5-7,7-10,<1,3-4,0.0871705083047457
CC1Cc2cc(O)ccc2C(c2c(F)cc(C=CC(=O)O)cc2F)N1CC(C)(C)F,3.09886677221491,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4,0.6810756201188384
Cc1nccn1-c1ccc(Sc2cccc(C3(C(N)=O)CCOCC3)c2)cc1,2.101288540239419,2.0916908367992866,300-400,50-75,5-7,5-7,1-3,3-4,0.002975686603605355
CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,1.4785775534630519,0.642480563453373,300-400,100-150,3-5,7-10,<1,0-1,0.2592247851796811
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.645293517022079,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4,0.3146607842006514
NCCNCCN,2.7237191158057654,1.8076710230351154,<200,50-75,3-5,3-5,3-5,<0,0.28401294694288926
CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1,2.8122894750593748,2.9451568267153836,400-500,75-100,7-10,3-5,3-5,2-3,0.04119439622671446
CC1Cn2c(nnc2C(C)(F)F)CN1C(=O)c1cccc(C(F)(F)c2n[nH]c(=O)c3ccccc23)c1,2.792489410159759,1.3994968237976466,500-600,75-100,3-5,5-7,1-3,3-4,0.4318855447050787
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4.061585414563733,2.988368376495352,300-400,50-75,>=10,7-10,1-3,2-3,0.33274184630329673
COC1=C(C=C(C=C1)CC=C)OC,4.555089167675013,4.227951485327458,<200,<50,3-5,1-3,<1,2-3,0.101426265665353
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,2.7382786725244506,2.084755199163509,200-300,75-100,<3,3-5,1-3,2-3,0.20261941379541143
