SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COc1cc(Cl)c(OC)cc1Cl,3.662699053004729,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4,0.22977588916294758
CCCSP(=O)(OCC)SCCC,4.870458888324088,3.9945810393223526,200-300,<50,7-10,3-5,<1,3-4,0.2435234341860998
C1COCCN1C=O,2.1770262254306862,0.7039836928957144,<200,<50,<3,1-3,<1,<0,0.40955525548905075
C1=CC2=C3C(=C1)C=CC3=CC=C2,3.5415659162921354,3.4811919035593912,<200,<50,<3,<1,<1,3-4,0.016786001533238948
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,3.9185863100809133,3.6123420602266383,300-400,<50,3-5,1-3,1-3,3-4,0.08514617821338609
CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl,3.302011666595415,3.2749914729946883,300-400,75-100,3-5,5-7,<1,0-1,0.00751252054783867
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,3.0037795133001084,2.084755199163509,200-300,75-100,<3,3-5,1-3,2-3,0.25551959937581
CC(C)(C)C1=NN=C(N(C1=O)N)SC,2.7982886515307777,1.3123162536103137,200-300,50-75,<3,5-7,1-3,1-2,0.4131501919585912
CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,4.1486960590413995,4.309154982576856,500-600,75-100,7-10,7-10,1-3,>=4,0.04461296532352617
CCCCOC1=CC=C(C=C1)N,4.2921703529110795,4.293989094995731,<200,<50,3-5,1-3,1-3,1-2,0.0005056713317478441
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,3.1290087642143707,3.0612578074341883,200-300,50-75,<3,3-5,1-3,2-3,0.018837039529322936
COC1=CC(=C(C=C1Cl)OC)Cl,4.449302620216025,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4,0.44847807720053057
CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,4.668417996479397,6.208868659306983,400-500,50-75,5-7,3-5,<1,>=4,0.428296977750472
O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,4.011724905517018,1.0228141710742014,300-400,75-100,5-7,3-5,3-5,2-3,0.8310174841809137
