SMILES,Clint,logP,Fup,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,0.4991761509550962,0.5277777777777777,0.018552361396303903,0.4679345615156623,0.0,0.4,0.11764705882352941,0.439329264900736,0.4143653250773994
C(=C(Cl)Cl)(Cl)Cl,0.020647327526306998,0.652046783625731,0.24260780287474334,0.1915644795722671,0.0,0.0,0.0,0.1181176991652102,0.0
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,0.2759452112985191,0.4005847953216374,0.08412731006160165,0.32245597721857383,0.4,0.4,0.1764705882352941,0.2310699476196809,0.5290402476780186
C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,0.42431397913732327,0.6885964912280701,0.0008008213552361393,0.5751293078398325,0.0,0.4,0.7058823529411764,0.41536952045015185,0.27715170278637774
C(C(F)(Cl)Cl)(F)(F)Cl,0.07953719339087979,0.6169590643274854,0.36160164271047235,0.2235572732027663,0.0,0.0,0.058823529411764705,0.09643340197643388,0.0
C(C(F)(F)F)(Cl)Cl,0.7863181952219298,0.4736842105263158,0.5429158110882957,0.1742168884756204,0.0,0.0,0.0,0.07102468237776027,0.0
C(C(F)(F)F)F,0.03646648091880334,0.2763157894736842,0.8698151950718687,0.10167373743244029,0.0,0.0,0.0,0.020593989746447897,0.0
C(CCC(=O)NN)CC(=O)NN,0.14924682958534896,0.11257309941520467,0.9754620123203286,0.20642761666763526,0.8,0.4,0.29411764705882354,0.18534908645692996,0.6826006191950464
C(CCl)OP(=O)(OCCCl)OCCCl,0.29334076757307703,0.36549707602339176,0.4414784394250514,0.36601383158017087,0.0,0.4,0.5294117647058824,0.26213841182787556,0.27715170278637774
C(Cl)(Cl)(Cl)Cl,0.39853439410316743,0.5687134502923976,0.6165297741273101,0.17412971465101412,0.0,0.0,0.0,0.09536322654713197,0.0
C(F)(F)(Cl)Cl,0.07953719339087979,0.4707602339181286,0.7833675564681726,0.12770965304817808,0.0,0.0,0.0,0.04508617296260055,0.0
C(F)(F)(F)Br,0.4230162772187446,0.42690058479532167,0.8501026694045175,0.16836171325623292,0.0,0.0,0.0,0.03623338512911772,0.0
C/C(=C\C(=O)NC)/OP(=O)(OC)OC,0.2520526060203074,0.12573099415204678,0.9117043121149899,0.2775469285755797,0.2,0.5,0.29411764705882354,0.2245800223677261,0.4573374613003096
C[As](=O)(C)O,0.06524147727748789,0.2631578947368421,0.9197125256673513,0.15391991631312837,0.2,0.1,0.0,0.06487011407964119,0.23095975232198143
C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,0.6169690677202083,0.5570175438596491,0.014743326488706366,0.40547451618527347,0.2,0.4,0.1764705882352941,0.44243754175406,0.276780185758514
C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,0.6580072244675076,0.8684210526315789,0.00513347022587269,0.5086737955483234,0.4,0.2,0.23529411764705882,0.530439868590934,0.3487925696594427
