SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COc1cc(Cl)c(OC)cc1Cl,3.72509644754697,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4,0.23860575305270348
CCCSP(=O)(OCC)SCCC,3.7250967838177362,3.9945810393223526,200-300,<50,7-10,3-5,<1,3-4,0.07234287978413545
C1COCCN1C=O,3.7250967838177362,0.7039836928957144,<200,<50,<3,1-3,<1,<0,0.8110159190621276
C1=CC2=C3C(=C1)C=CC3=CC=C2,3.725097120088502,3.4811919035593912,<200,<50,<3,<1,<1,3-4,0.06547620277499563
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,3.725097456359268,3.6123420602266383,300-400,<50,3-5,1-3,1-3,3-4,0.030269115545029198
CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl,3.725097120088502,3.2749914729946883,300-400,75-100,3-5,5-7,<1,0-1,0.12083057934830062
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,3.725097120088502,2.084755199163509,200-300,75-100,<3,3-5,1-3,2-3,0.4403487623725823
CC(C)(C)C1=NN=C(N(C1=O)N)SC,3.72509644754697,1.3123162536103137,200-300,50-75,<3,5-7,1-3,1-2,0.6477093334772296
CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,3.725097120088502,4.309154982576856,500-600,75-100,7-10,7-10,1-3,>=4,0.15678996776214363
CCCCOC1=CC=C(C=C1)N,3.72509644754697,4.293989094995731,<200,<50,3-5,1-3,1-3,1-2,0.15271887527306496
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,3.7250967838177362,3.0612578074341883,200-300,50-75,<3,3-5,1-3,2-3,0.17820715787129116
COC1=CC(=C(C=C1Cl)OC)Cl,3.725097120088502,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4,0.23860593359605703
CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,3.7250981289008003,6.208868659306983,400-500,50-75,5-7,3-5,<1,>=4,0.6667666448865127
O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,3.7250967838177362,1.0228141710742014,300-400,75-100,5-7,3-5,3-5,2-3,0.7254260766752517
CNC(=O)N(C)c1nnc(C(C)(C)C)s1,3.7250967838177362,2.669932366488085,200-300,50-75,<3,3-5,1-3,1-2,0.28325822765578473
CCC1CC2C(CCC3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OCC23)NS1(=O)=O,3.725097456359268,0.567181382230949,500-600,75-100,3-5,5-7,1-3,>=4,0.8477405943114195
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,3.725097120088502,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4,0.29387218672078347
CCS(=O)(=O)C1=CC2=C(C=C1)OC(=N2)C3=CC4=CC=CC=C4C=C3,3.725097120088502,2.0630085059282193,300-400,50-75,3-5,3-5,<1,3-4,0.44618664856551465
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,3.7250977926300344,4.101565892209391,300-400,100-150,3-5,7-10,1-3,2-3,0.10106262579026537
CC(=O)Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N(C(C)C2CC2)C3)s1,3.7250977926300344,0.7019681610657231,400-500,75-100,5-7,5-7,1-3,3-4,0.8115572581358771
N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,3.725097456359268,5.966859049472992,400-500,100-150,3-5,5-7,1-3,2-3,0.6017994970861664
