SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,4.142647493303441,5.296865463046069,200-300,<50,<3,1-3,1-3,3-4,0.3187910060414857
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,4.316675916105446,4.348069046945451,400-500,100-150,7-10,7-10,3-5,2-3,0.008670674019664404
Oc1ccccc1Cc1ccccc1O,5.002577940495022,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.09965729575298203
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.4852164030130033,3.6006000007279004,500-600,100-150,>=10,7-10,1-3,>=4,0.031868550101000585
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,2.8156086054931215,2.655377710446548,500-600,100-150,7-10,7-10,1-3,>=4,0.04425521831220055
CC(CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(Cl)c2F)n1,3.289296489430405,3.0612578074341887,400-500,100-150,7-10,7-10,3-5,2-3,0.06298349424083072
CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.7606536568621705,3.3928489637277615,200-300,<50,<3,1-3,1-3,3-4,0.1015863824899933
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,2.970434091763991,4.683666307544404,300-400,<50,3-5,1-3,<1,>=4,0.473188804860755
CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NN2C3=CC=CC=C3)C)C(=O)N[C@@H](C)C(C)(C)C,2.0428666878035187,2.933040419609829,400-500,75-100,5-7,5-7,1-3,>=4,0.24586290194174978
CCNc1ccccc1,3.4053095308023185,4.033634082553319,<200,<50,<3,1-3,1-3,2-3,0.17354106522698787
CCN(CC)C(=S)SSC(=S)N(CC)CC,3.801729681089925,4.296070764077701,200-300,<50,3-5,3-5,<1,3-4,0.1365352951561229
Nc1cc(Cl)cc(Cl)c1,2.328132381287266,5.393919458287381,<200,<50,<3,1-3,1-3,2-3,0.8467597734627059
CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,5.149252564554679,5.998935073111827,300-400,50-75,7-10,5-7,1-3,>=4,0.2346793663065099
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],3.2724706179125738,0.9383807215534246,200-300,75-100,3-5,5-7,<1,<0,0.6446675461286738
CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,4.046468205285549,2.6905119681290026,200-300,<50,<3,1-3,1-3,3-4,0.3745104168563163
COC1=C(C=C(C=C1)CCO[C@@H]2CCCC[C@H]2N3CC[C@H](C3)O)OC,4.95121016195375,2.858547243087515,300-400,50-75,7-10,5-7,1-3,3-4,0.5779862510369995
C(CCl)Cl,5.767460548535261,4.012689035209935,<200,<50,<3,<1,<1,1-2,0.48466181498686844
CN1C2=C(C(=C(C1=O)F)NC3=C(C=C(C=C3)I)F)C(=O)N(C=N2)C[C@H](CO)O,2.801757899217749,1.8001302529231387,500-600,100-150,5-7,7-10,3-5,0-1,0.2766460871445495
CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O,5.281861438894749,4.565980400356549,200-300,<50,<3,1-3,1-3,2-3,0.19772386365852956
CCNC(=O)OC1CCN(CC1)C2=NN=CC3=CC(=C(C=C32)OC)OC,3.602386793888168,5.107673985224389,300-400,75-100,5-7,7-10,1-3,1-2,0.41575510924894005
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,2.9727177781660203,2.824560326210862,300-400,50-75,<3,5-7,<1,1-2,0.040920575142197664
CC(C)O,3.8237731677122286,1.3360054569004634,<200,<50,<3,1-3,1-3,0-1,0.6871128262749624
C1=Cc2cccc3cccc1c23,3.601932851150144,3.4811919035593912,<200,<50,<3,<1,<1,3-4,0.03334823158353808
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,3.4804847656445843,1.9853886174483968,300-400,100-150,<3,5-7,3-5,1-2,0.41294037842652187
C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,3.3463712687907163,2.7184285063678635,200-300,<50,<3,<1,<1,>=4,0.17343561633673774
C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl,2.492275621612438,2.0970174392014087,200-300,75-100,3-5,5-7,1-3,0-1,0.10916894115332318
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,4.355890161671168,3.086667844147708,200-300,50-75,5-7,3-5,<1,3-4,0.3505548086240873
Clc1cccc(Cl)c1Cl,4.369922172403469,2.9322274153361185,<200,<50,<3,<1,<1,>=4,0.3970863129849458
O=[N+]([O-])c1ccccc1,3.649851414637702,3.0810767052953945,<200,<50,<3,1-3,<1,1-2,0.15709360498227143
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,4.4509219833234965,4.367618078184806,400-500,50-75,5-7,5-7,<1,>=4,0.0230082501074465
CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C,4.07992773833304,4.847737547758402,300-400,50-75,7-10,7-10,<1,>=4,0.21206641034172463
C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cc[nH]c3nccc2-3)n1,3.3354432448886913,1.806418170236714,400-500,100-150,3-5,7-10,1-3,2-3,0.4223114304134881
CCCCCCCCC,2.4520079698881325,2.399200311773536,<200,<50,5-7,<1,<1,>=4,0.014585292291715861
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,3.544140010716996,3.280747969380977,200-300,<50,<3,1-3,1-3,2-3,0.07274796965737176
COC(=O)C=C(C)OP(=O)(OC)OC,3.606377536727709,2.5617295641011073,200-300,50-75,5-7,5-7,<1,0-1,0.28852815229266593
COC1=C(C=CC(=C1C(=O)O)Cl)Cl,3.068826521028678,0.974359502990924,200-300,<50,<3,1-3,1-3,2-3,0.5784845369803518
CN1CCN(c2cc(Cl)c3[nH]c(Nc4ccc(Br)cn4)nc3c2)CC1,3.52321297785578,3.1738240641526563,400-500,50-75,3-5,5-7,1-3,3-4,0.09650000798722355
CC1=CC(=C(C=C1)C(C)(C)C)O,4.667412114416926,4.528232984567794,<200,<50,<3,1-3,1-3,3-4,0.03844079366956735
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,2.321326307397559,2.600247446345537,300-400,75-100,3-5,3-5,1-3,1-2,0.07703705263858443
CCCCCCCCN(C)C,3.9406272981813224,4.5043184018182485,<200,<50,7-10,1-3,<1,2-3,0.1556895306916085
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,2.544382931491183,3.3755967986580426,200-300,50-75,3-5,3-5,1-3,3-4,0.22957839151373113
c1ccc2c(c1)Cc1ccccc1-2,3.7033232791133317,3.457424710324947,<200,<50,<3,<1,<1,>=4,0.06791633312180227
CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,4.379095428168791,4.128153220694453,300-400,<50,5-7,3-5,<1,>=4,0.06930936866010978
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,3.4124990022748163,3.789925425497272,300-400,<50,5-7,5-7,<1,3-4,0.10424387101905506
CCC(C)c1ccc(O)cc1,4.69791693009304,3.9003153171265224,<200,<50,<3,1-3,1-3,3-4,0.2202948033070439
C(C(F)(F)F)(C(F)(F)F)F,1.9719464845345305,2.627824938988848,<200,<50,<3,<1,<1,1-2,0.18115135773102703
CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,2.6593238228226865,2.669932366488085,200-300,50-75,<3,3-5,1-3,1-2,0.0029300430216673066
CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,3.794217814850031,2.0630085059282193,300-400,50-75,3-5,3-5,<1,3-4,0.47815401572948374
CC1=CC(=C(C=C1)OC)N,3.819815823062122,3.9257321837465176,<200,<50,<3,1-3,1-3,1-2,0.02925373201940387
CC(CN1C(C)Cc2c([nH]c3ccccc23)C1c1ccc(Cl)cc1)C(=O)O,4.284543790689042,4.086293909171261,300-400,50-75,3-5,1-3,1-3,>=4,0.054755930711034684
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,2.7104745131326364,1.643385516382693,200-300,<50,<3,3-5,1-3,1-2,0.294726285439455
CC1=C(C(=CC=C1)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C,3.3672427516021592,3.6327328488112807,400-500,>=150,7-10,>=10,1-3,3-4,0.0733274454236924
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,5.068439170059351,2.5134599304809226,400-500,50-75,<3,3-5,<1,3-4,0.7056764177583704
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,2.8956347569517855,1.7580465376935106,200-300,50-75,5-7,5-7,<1,0-1,0.3141979265486165
CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,2.4709426985102407,1.965984476132442,200-300,50-75,5-7,3-5,1-3,0-1,0.13946771228716331
CCS(=O)(=O)c1ccc(C(N=C(C)O)C(=O)Nc2cc(-c3cc(C#N)cc(F)c3OC)cs2)cc1,2.8945862923620465,2.6730991333599206,500-600,100-150,7-10,7-10,1-3,>=4,0.06117398627860789
CC(C)N(C(=O)CCl)c1ccccc1,5.520135368647739,5.18367899998282,200-300,<50,3-5,1-3,<1,2-3,0.09292808383469511
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,3.3284858567529763,2.9531536328672403,200-300,50-75,3-5,3-5,1-3,3-4,0.10366546041472777
Cc1ccc(C)c(C)c1,3.9453729082616475,3.207324403353169,<200,<50,<3,<1,<1,3-4,0.20384644110128744
COc1cc(Cl)c(OC)cc1Cl,3.9986324556758737,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4,0.32104135867488076
C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.0704119126332508,3.2749914729946883,500-600,100-150,>=10,7-10,1-3,>=4,0.05650416608718203
COc1ccc(C(CCCN)(c2ccccc2)c2ccccc2)cc1,3.0361049857283295,0.8207265198063668,300-400,<50,7-10,1-3,1-3,>=4,0.6118798601544786
COC(=O)NC1=NC2=CC=CC=C2N1,4.8243904207148995,4.128153220694453,<200,50-75,<3,3-5,1-3,1-2,0.19229830348899984
C(CNCCN)N,2.9740359842551185,1.8076710230351154,<200,50-75,3-5,3-5,3-5,<0,0.3221459630209833
Cc1cc2c(cc1O)CCN(CC(C)C)[C@@H]2c1ccc(/C=C/C(=O)O)cc1,3.4646840140636734,3.789925425497272,300-400,50-75,5-7,3-5,1-3,>=4,0.08983055148620622
CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,0.9465065384316351,0.567181382230949,500-600,75-100,3-5,5-7,1-3,>=4,0.10476829449209216
CCn1c([C@@H](C)NS(=O)(=O)c2ccc(C#N)nc2)nc2cnc(C3CC3)cc21,1.4949638521696662,0.41135439880839647,300-400,100-150,5-7,7-10,1-3,2-3,0.2992891783430924
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,3.3836484193692518,5.552859967556872,300-400,50-75,5-7,3-5,1-3,>=4,0.5991287173580729
CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,3.5851587809057204,1.0436381581317689,200-300,50-75,<3,3-5,1-3,<0,0.7019591944058501
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,4.292544701845651,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4,0.2770378178802777
CC(=O)Nc1ccc(O)cc1,3.782681807581162,0.649946912270624,<200,<50,<3,1-3,1-3,0-1,0.8652505290313628
CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,4.0867546008916795,3.640774151623198,200-300,50-75,3-5,5-7,<1,2-3,0.12317825560178688
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.363502767887387,1.474454769386837,200-300,75-100,5-7,3-5,1-3,2-3,0.2455519783012542
