SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,3.507932965391762,5.296865463046069,200-300,<50,<3,1-3,1-3,3-4,0.5099677047799454
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,3.5079322837960594,4.348069046945451,400-500,100-150,7-10,7-10,3-5,2-3,0.23949624559134136
Oc1ccccc1Cc1ccccc1O,3.5079343285831674,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.5289336707377331
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.5079322837960594,3.6006000007279004,500-600,100-150,>=10,7-10,1-3,>=4,0.0264166160393944
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,3.507931602200357,2.655377710446548,500-600,100-150,7-10,7-10,1-3,>=4,0.24303597365970353
CC(CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(Cl)c2F)n1,3.5079322837960594,3.0612578074341887,400-500,100-150,7-10,7-10,3-5,2-3,0.1273326734198917
CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.5079333061896136,3.3928489637277615,200-300,<50,<3,1-3,1-3,3-4,0.03280688234929759
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,3.507932965391762,4.683666307544404,300-400,<50,3-5,1-3,<1,>=4,0.335164146616504
CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NN2C3=CC=CC=C3)C)C(=O)N[C@@H](C)C(C)(C)C,3.507931942998208,2.933040419609829,400-500,75-100,5-7,5-7,1-3,>=4,0.1638832717636007
CCNc1ccccc1,3.507933646987465,4.033634082553319,<200,<50,<3,1-3,1-3,2-3,0.1498604586136496
CCN(CC)C(=S)SSC(=S)N(CC)CC,3.507933646987465,4.296070764077701,200-300,<50,3-5,3-5,<1,3-4,0.22467280189800568
Nc1cc(Cl)cc(Cl)c1,3.5079333061896136,5.393919458287381,<200,<50,<3,1-3,1-3,2-3,0.5376346119784758
CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,3.507932965391762,5.998935073111827,300-400,50-75,7-10,5-7,1-3,>=4,0.7101054003668091
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],3.507932965391762,0.9383807215534246,200-300,75-100,3-5,5-7,<1,<0,0.7324975435465617
CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,3.5079326245939106,2.6905119681290026,200-300,<50,<3,1-3,1-3,3-4,0.23302060673821962
COC1=C(C=C(C=C1)CCO[C@@H]2CCCC[C@H]2N3CC[C@H](C3)O)OC,3.5079326245939106,2.858547243087515,300-400,50-75,7-10,5-7,1-3,3-4,0.18511909921626343
C(CCl)Cl,3.5079333061896136,4.012689035209935,<200,<50,<3,<1,<1,1-2,0.14388978954798057
CN1C2=C(C(=C(C1=O)F)NC3=C(C=C(C=C3)I)F)C(=O)N(C=N2)C[C@H](CO)O,3.5079322837960594,1.8001302529231387,500-600,100-150,5-7,7-10,3-5,0-1,0.4868399914724394
CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O,3.5079322837960594,4.565980400356549,200-300,<50,<3,1-3,1-3,2-3,0.3016158352853421
CCNC(=O)OC1CCN(CC1)C2=NN=CC3=CC(=C(C=C32)OC)OC,3.507932965391762,5.107673985224389,300-400,75-100,5-7,7-10,1-3,1-2,0.4560352373251045
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,3.5079333061896136,2.824560326210862,300-400,50-75,<3,5-7,<1,1-2,0.19480788155246495
CC(C)O,3.507932965391762,1.3360054569004634,<200,<50,<3,1-3,1-3,0-1,0.6191473898014946
C1=Cc2cccc3cccc1c23,3.507933987785316,3.4811919035593912,<200,<50,<3,<1,<1,3-4,0.007623316884012608
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,3.507932965391762,1.9853886174483968,300-400,100-150,<3,5-7,3-5,1-2,0.43402892370978496
C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,3.5079326245939106,2.7184285063678635,200-300,<50,<3,<1,<1,>=4,0.225062490403623
C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl,3.5079326245939106,2.0970174392014087,200-300,75-100,3-5,5-7,1-3,0-1,0.4022070031581624
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,3.507932965391762,3.086667844147708,200-300,50-75,5-7,3-5,<1,3-4,0.12008927517744135
Clc1cccc(Cl)c1Cl,3.507933987785316,2.9322274153361185,<200,<50,<3,<1,<1,>=4,0.1641156163039195
O=[N+]([O-])c1ccccc1,3.507933987785316,3.0810767052953945,<200,<50,<3,1-3,<1,1-2,0.12168342232332524
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,3.5079322837960594,4.367618078184806,400-500,50-75,5-7,5-7,<1,>=4,0.2450690520582582
CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C,3.5079333061896136,4.847737547758402,300-400,50-75,7-10,7-10,<1,>=4,0.38193553687641857
C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cc[nH]c3nccc2-3)n1,3.507931942998208,1.806418170236714,400-500,100-150,3-5,7-10,1-3,2-3,0.4850474092702865
CCCCCCCCC,3.507933646987465,2.399200311773536,<200,<50,5-7,<1,<1,>=4,0.31606457756983647
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,3.5079333061896136,3.280747969380977,200-300,<50,<3,1-3,1-3,2-3,0.06476330712526829
COC(=O)C=C(C)OP(=O)(OC)OC,3.5079326245939106,2.5617295641011073,200-300,50-75,5-7,5-7,<1,0-1,0.2697323703649992
COC1=C(C=CC(=C1C(=O)O)Cl)Cl,3.507933646987465,0.974359502990924,200-300,<50,<3,1-3,1-3,2-3,0.722241332637138
CN1CCN(c2cc(Cl)c3[nH]c(Nc4ccc(Br)cn4)nc3c2)CC1,3.5079322837960594,3.1738240641526563,400-500,50-75,3-5,5-7,1-3,3-4,0.09524361715328687
CC1=CC(=C(C=C1)C(C)(C)C)O,3.507932965391762,4.528232984567794,<200,<50,<3,1-3,1-3,3-4,0.2908550544240166
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,3.5079322837960594,2.600247446345537,300-400,75-100,3-5,3-5,1-3,1-2,0.25875205119542155
CCCCCCCCN(C)C,3.5079333061896136,4.5043184018182485,<200,<50,7-10,1-3,<1,2-3,0.2840376710473684
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,3.5079326245939106,3.3755967986580426,200-300,50-75,3-5,3-5,1-3,3-4,0.03772473109028071
c1ccc2c(c1)Cc1ccccc1-2,3.507933987785316,3.457424710324947,<200,<50,<3,<1,<1,>=4,0.014398587051402218
CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,3.5079326245939106,4.128153220694453,300-400,<50,5-7,3-5,<1,>=4,0.1768051473520514
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,3.5079333061896136,3.789925425497272,300-400,<50,5-7,5-7,<1,3-4,0.08038697605299368
CCC(C)c1ccc(O)cc1,3.507932965391762,3.9003153171265224,<200,<50,<3,1-3,1-3,3-4,0.11185571706741988
C(C(F)(F)F)(C(F)(F)F)F,3.5079333061896136,2.627824938988848,<200,<50,<3,<1,<1,1-2,0.25089087741852345
CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,3.507933646987465,2.669932366488085,200-300,50-75,<3,3-5,1-3,1-2,0.23888748747047783
CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,3.5079326245939106,2.0630085059282193,300-400,50-75,3-5,3-5,<1,3-4,0.4119018673668924
CC1=CC(=C(C=C1)OC)N,3.507932965391762,3.9257321837465176,<200,<50,<3,1-3,1-3,1-2,0.1191012566000142
CC(CN1C(C)Cc2c([nH]c3ccccc23)C1c1ccc(Cl)cc1)C(=O)O,3.5079333061896136,4.086293909171261,300-400,50-75,3-5,1-3,1-3,>=4,0.16487219591820015
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,3.507932965391762,1.643385516382693,200-300,<50,<3,3-5,1-3,1-2,0.5315231202246294
CC1=C(C(=CC=C1)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C,3.507931942998208,3.6327328488112807,400-500,>=150,7-10,>=10,1-3,3-4,0.03557676523591746
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,3.507931942998208,2.5134599304809226,400-500,50-75,<3,3-5,<1,3-4,0.28349231195493346
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,3.5079333061896136,1.7580465376935106,200-300,50-75,5-7,5-7,<1,0-1,0.4988370104097676
CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,3.5079322837960594,1.965984476132442,200-300,50-75,5-7,3-5,1-3,0-1,0.439560232370845
CCS(=O)(=O)c1ccc(C(N=C(C)O)C(=O)Nc2cc(-c3cc(C#N)cc(F)c3OC)cs2)cc1,3.5079322837960594,2.6730991333599206,500-600,100-150,7-10,7-10,1-3,>=4,0.23798435444622237
CC(C)N(C(=O)CCl)c1ccccc1,3.5079333061896136,5.18367899998282,200-300,<50,3-5,1-3,<1,2-3,0.47770175027796735
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,3.507933987785316,2.9531536328672403,200-300,50-75,3-5,3-5,1-3,3-4,0.1581502178676649
Cc1ccc(C)c(C)c1,3.507933646987465,3.207324403353169,<200,<50,<3,<1,<1,3-4,0.08569412552616121
COc1cc(Cl)c(OC)cc1Cl,3.5079333061896136,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4,0.19147072822211286
C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.507931942998208,3.2749914729946883,500-600,100-150,>=10,7-10,1-3,>=4,0.06640391238563773
COc1ccc(C(CCCN)(c2ccccc2)c2ccccc2)cc1,3.507933987785316,0.8207265198063668,300-400,<50,7-10,1-3,1-3,>=4,0.7660373024189796
COC(=O)NC1=NC2=CC=CC=C2N1,3.5079333061896136,4.128153220694453,<200,50-75,<3,3-5,1-3,1-2,0.17680495305081495
C(CNCCN)N,3.507933987785316,1.8076710230351154,<200,50-75,3-5,3-5,3-5,<0,0.48469084372548477
Cc1cc2c(cc1O)CCN(CC(C)C)[C@@H]2c1ccc(/C=C/C(=O)O)cc1,3.5079322837960594,3.789925425497272,300-400,50-75,5-7,3-5,1-3,>=4,0.0803872675048483
