SMILES,Clint,logP,Fup
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,0.48614879306647624,0.4711538461538461,0.1642710472279261
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,0.4991761509550962,0.5563186813186812,0.018552361396303903
C(=C(Cl)Cl)(Cl)Cl,0.020647327526306998,0.673076923076923,0.24260780287474334
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,0.2759452112985191,0.43681318681318676,0.08412731006160165
C(C(F)(Cl)Cl)(F)(F)Cl,0.07953719339087979,0.6401098901098901,0.36160164271047235
C(C(F)(F)F)(C(F)(F)F)F,0.4230162772187446,0.46016483516483514,0.460164271047228
C(C(F)(F)F)F,0.03646648091880334,0.32005494505494503,0.8698151950718687
C(CCC(=O)NN)CC(=O)NN,0.14924682958534896,0.1662087912087912,0.9754620123203286
C(CCl)Cl,0.6461478847023739,0.40934065934065933,0.6228952772073924
C(CCl)OP(=O)(OCCCl)OCCCl,0.29334076757307703,0.4038461538461538,0.4414784394250514
C(Cl)(Cl)Cl,0.7699530840764456,0.4766483516483516,0.5720739219712527
C(CNCCN)N,0.2908717136113029,0.09203296703296704,0.9833675564681726
C(F)(F)(Cl)Cl,0.07953719339087979,0.5027472527472527,0.7833675564681726
C(F)(F)(F)Br,0.4230162772187446,0.4615384615384615,0.8501026694045175
C/C(=C\C(=O)NC)/OP(=O)(OC)OC,0.2520526060203074,0.17857142857142855,0.9117043121149899
C[As](=O)(C)O,0.06524147727748789,0.30769230769230765,0.9197125256673513
C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,0.6169690677202083,0.5837912087912087,0.014743326488706366
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.2644017594218303,0.3942307692307692,0.646817248459959
C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,0.6580072244675076,0.8763736263736264,0.00513347022587269
C[C@@H](Nc1cc(F)cc(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,0.5556460365868225,0.7967032967032965,0.051334702258726904
