SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COc1cc(Cl)c(OC)cc1Cl,4.702417997367379,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4,0.5111405477020974
CCCSP(=O)(OCC)SCCC,4.600114342201657,3.9945810393223526,200-300,<50,7-10,3-5,<1,3-4,0.16585613777178215
C1COCCN1C=O,2.163542944658401,0.7039836928957144,<200,<50,<3,1-3,<1,<0,0.399774643599879
C1=CC2=C3C(=C1)C=CC3=CC=C2,4.4473673819572115,3.4811919035593912,<200,<50,<3,<1,<1,3-4,0.2646363668107069
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,4.7375764510445215,3.6123420602266383,300-400,<50,3-5,1-3,1-3,3-4,0.30820275162675403
CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl,2.3861594040028553,3.2749914729946883,300-400,75-100,3-5,5-7,<1,0-1,0.24345193466604637
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,2.405420152807229,2.084755199163509,200-300,75-100,<3,3-5,1-3,2-3,0.08783043059270962
CC(C)(C)C1=NN=C(N(C1=O)N)SC,2.708911749019472,1.3123162536103137,200-300,50-75,<3,5-7,1-3,1-2,0.38252881186982596
CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,3.821847263552348,4.309154982576856,500-600,75-100,7-10,7-10,1-3,>=4,0.13347403982484418
CCCCOC1=CC=C(C=C1)N,4.662556460755787,4.293989094995731,<200,<50,3-5,1-3,1-3,1-2,0.10095094605534351
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,3.2942201048098667,3.0612578074341883,200-300,50-75,<3,3-5,1-3,2-3,0.06380859104767163
COC1=CC(=C(C=C1Cl)OC)Cl,5.064601116144234,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4,0.6103428425401091
CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,4.444594493220084,6.208868659306983,400-500,50-75,5-7,3-5,<1,>=4,0.48323634351128236
O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,3.9063608501091647,1.0228141710742014,300-400,75-100,5-7,3-5,3-5,2-3,0.7898061312157327
CNC(=O)N(C)c1nnc(C(C)(C)C)s1,2.996407953701399,2.669932366488085,200-300,50-75,<3,3-5,1-3,1-2,0.08942196855978327
CCC1CC2C(CCC3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OCC23)NS1(=O)=O,1.181096123956723,0.567181382230949,500-600,75-100,3-5,5-7,1-3,>=4,0.16815182170763818
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,4.007784820950811,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4,0.3772684489537702
CCS(=O)(=O)C1=CC2=C(C=C1)OC(=N2)C3=CC4=CC=CC=C4C=C3,4.444300592570526,2.0630085059282193,300-400,50-75,3-5,3-5,<1,3-4,0.6522381288015194
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,3.7686559537731874,4.101565892209391,300-400,100-150,3-5,7-10,1-3,2-3,0.09118434337520825
CC(=O)Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N(C(C)C2CC2)C3)s1,1.679282608993171,0.7019681610657231,400-500,75-100,5-7,5-7,1-3,3-4,0.2676873409786955
N#Cc1cccnc1N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,5.072946011475374,5.966859049472992,400-500,100-150,3-5,5-7,1-3,2-3,0.24484361682692926
COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,4.349472909076382,3.742838616914527,300-400,50-75,3-5,3-5,1-3,3-4,0.16615769976558775
CN(CCCC(=O)c1cccnc1)N=O,2.6942310080491616,2.5294045518741006,200-300,50-75,5-7,3-5,<1,1-2,0.04514612044261829
CCCC1=CC(=C(C=C1)O)OC,6.072664203129274,4.152452765609863,<200,<50,3-5,1-3,1-3,2-3,0.5259477079424169
C1CN(CCN1CCC2=CC(=O)N(C3=C2C=CC(=C3)F)CC(=O)N)C4=NC=CC5=C4C=CS5,2.78383522959834,2.942476950383015,400-500,75-100,5-7,7-10,1-3,2-3,0.043452115637081845
CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C,5.191106850886552,5.069070685216515,300-400,<50,7-10,3-5,1-3,3-4,0.033425819868645755
