SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,3.6898104613231286,6.089416461728909,300-400,75-100,>=10,5-7,1-3,2-3,0.6503331329281918
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,3.689810831258762,4.489575995561223,200-300,50-75,7-10,5-7,<1,2-3,0.2167496600774031
FC(F)(F)Br,3.6898115711300283,2.627824938988848,<200,<50,<3,<1,<1,1-2,0.2878160387544634
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,3.689809721451862,5.552859967556872,300-400,50-75,5-7,3-5,1-3,>=4,0.5049176002840566
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,3.689809721451862,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4,0.43519333735165266
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,3.689809721451862,3.8604004147232507,200-300,<50,<3,<1,<1,>=4,0.04623291489720142
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],3.689810831258762,3.0801418020027165,300-400,50-75,5-7,5-7,<1,>=4,0.1652304460725328
CCc1ccc(O)c(C(C)(C)C)c1,3.689810831258762,5.562674259796112,<200,<50,<3,1-3,1-3,3-4,0.5075771359220491
Cc1ccc(N)cc1O,3.689811201194395,3.7307121377158694,<200,<50,<3,1-3,1-3,0-1,0.011084834003252815
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],3.6898100913874954,3.0989053054127274,400-500,<50,3-5,1-3,<1,>=4,0.16014502408322442
COC(=O)NS(=O)(=O)c1ccc(N)cc1,3.6898115711300283,1.7191421803255609,200-300,75-100,<3,5-7,1-3,<0,0.5340841782654484
CC1=CC(=CC=C1)[N+](=O)[O-],3.689811941065662,3.7795225326516717,<200,<50,<3,1-3,<1,2-3,0.024313062258181303
Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,3.6898104613231286,3.274991472994688,300-400,75-100,3-5,5-7,<1,0-1,0.11242284451369054
C1=CC=C(C(=C1)CC2=CC=CC=C2O)O,3.689810831258762,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.4535699994803195
CCCCOC(=O)C1=CC=CC=C1C(=O)O,3.6898115711300283,1.0551306388705257,200-300,50-75,5-7,3-5,1-3,2-3,0.7140423488909209
