SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,3.1129252831995546,4.4237667316091045,400-500,100-150,7-10,7-10,<1,2-3,0.4210983410282745
C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,3.112886416873236,4.086293909171261,300-400,50-75,3-5,1-3,1-3,>=4,0.312700121474283
O=[N+]([O-])c1ccccc1,3.112971994105497,3.081076705295394,<200,<50,<3,1-3,<1,1-2,0.010246131002988958
Oc1ccccc1O,3.1129791255415187,4.687891364891228,<200,<50,<3,1-3,1-3,0-1,0.5059291740125722
Clc1ccc(Cl)cc1,3.112959157520658,5.804408801706431,<200,<50,<3,<1,<1,3-4,0.8646087454000525
C1=CC=C2C(=C1)N=C(S2)SCSC#N,3.1128885563040427,4.334820764847144,200-300,<50,3-5,5-7,<1,3-4,0.39253689032401745
CCCSC(=O)N(CCC)CCC,3.112902819176086,4.172260856834855,200-300,<50,5-7,1-3,<1,3-4,0.3403111129529233
CNC(=O)Oc1ccccc1OC(C)C,3.112954878659045,2.9206382762063954,200-300,<50,3-5,3-5,1-3,1-2,0.0617803185452088
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,3.1129327712073773,3.7440432160689308,300-400,50-75,5-7,3-5,1-3,3-4,0.2027396689807633
CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,3.1129370500689904,4.964426385618068,300-400,75-100,7-10,7-10,<1,1-2,0.5947775671704787
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,3.1129135163301185,1.474454769386837,200-300,75-100,5-7,3-5,1-3,2-3,0.5263430302865412
CCCCCCCCn1sccc1=O,3.112939902643399,3.507462368162881,200-300,<50,7-10,3-5,<1,2-3,0.12673749058683498
N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,3.1128714408575906,1.4991894926346008,400-500,75-100,<3,5-7,1-3,>=4,0.5183836627751116
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.112956304946249,3.6137144581226854,200-300,50-75,5-7,5-7,<1,2-3,0.16086493741468696
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],3.1128871300168384,1.0436381581317689,300-400,100-150,5-7,5-7,3-5,1-2,0.6647312764579478
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,3.112909950612108,4.364386330371385,300-400,50-75,7-10,5-7,<1,3-4,0.40202774179295864
CC(C)(c1ccccc1)c1ccc(O)cc1,3.112984117546734,4.251418963806454,200-300,<50,<3,1-3,1-3,3-4,0.36571396617828705
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,3.112873580288397,1.9378037810571842,500-600,100-150,>=10,>=10,1-3,3-4,0.3774826800365968
Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,3.112894974596462,2.7234519298767377,300-400,<50,<3,1-3,<1,3-4,0.12510576336707274
CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,3.1128871300168384,1.9378037810571842,300-400,50-75,<3,3-5,1-3,2-3,0.37748703278892626
C(C(F)(F)F)F,3.1129374066407913,0.22870748389392712,<200,<50,<3,<1,<1,0-1,0.9265380165438202
C(CCl)OP(=O)(OCCCl)OCCCl,3.1129049586068924,1.8229951818212897,200-300,<50,7-10,3-5,<1,1-2,0.4143741928054004
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,3.1128928351656557,1.3279465048795942,300-400,75-100,<3,3-5,<1,2-3,0.573401107677769
CC(C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,3.112894618024661,2.7890647440831073,300-400,50-75,5-7,3-5,1-3,>=4,0.10402800648212251
