SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,5.992542138909796,6.089416461728909,300-400,75-100,>=10,5-7,1-3,2-3,0.029302769006246777
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,5.226472030817524,4.489575995561223,200-300,50-75,7-10,5-7,<1,2-3,0.2228980154323632
FC(F)(F)Br,-0.0024837307945337677,2.627824938988848,<200,<50,<3,<1,<1,1-2,0.7956218440846088
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,3.3723764630607453,5.552859967556872,300-400,50-75,5-7,3-5,1-3,>=4,0.6595576887126904
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,3.5577615670910636,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4,0.5256625572019983
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,2.8263329715696455,3.8604004147232507,200-300,<50,<3,<1,<1,>=4,0.31278710954387084
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],2.887795557423985,3.0801418020027165,300-400,50-75,5-7,5-7,<1,>=4,0.05818133649959903
CCc1ccc(O)c(C(C)(C)C)c1,3.482245866399989,5.562674259796112,<200,<50,<3,1-3,1-3,3-4,0.6292927875176414
Cc1ccc(N)cc1O,4.925620397316557,3.7307121377158694,<200,<50,<3,1-3,1-3,0-1,0.36143861134507976
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],3.091378720094035,3.0989053054127274,400-500,<50,3-5,1-3,<1,>=4,0.0022766589182901765
COC(=O)NS(=O)(=O)c1ccc(N)cc1,1.216670616303067,1.7191421803255609,200-300,75-100,<3,5-7,1-3,<0,0.15198875970726955
CC1=CC(=CC=C1)[N+](=O)[O-],3.857348390661874,3.7795225326516717,<200,<50,<3,1-3,<1,2-3,0.02354094535704946
Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,2.7961621311268834,3.274991472994688,300-400,75-100,3-5,5-7,<1,0-1,0.14483740572168535
C1=CC=C(C(=C1)CC2=CC=CC=C2O)O,4.6542641017919975,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.21450050922448946
CCCCOC(=O)C1=CC=CC=C1C(=O)O,4.235201016421503,1.0551306388705257,200-300,50-75,5-7,3-5,1-3,2-3,0.9619150357415336
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1.7704157052593474,4.244144362112037,300-400,<50,<3,1-3,<1,2-3,0.7482591599761429
CN1CCN(c2cc(Cl)c3[nH]c(Nc4ccc(Br)cn4)nc3c2)CC1,2.9918523471254423,3.1738240641526563,400-500,50-75,3-5,5-7,1-3,3-4,0.05504322543420652
FC(F)(F)C(Cl)Cl,-0.09522696399145132,4.882654669320898,<200,<50,<3,<1,<1,2-3,1.5057211384460982
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,4.096113356895172,4.120746704603301,300-400,50-75,5-7,5-7,<1,2-3,0.00745115193310477
CC1=C(C=C(C=C1)N)O,5.406011411970878,3.7307121377158694,<200,<50,<3,1-3,1-3,0-1,0.5067483954596659
Oc1c(Cl)cc(Cl)cc1Cl,2.653761698004602,3.8863167732990154,<200,<50,<3,1-3,1-3,3-4,0.3728261071436707
CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cc(C#N)cc(F)c3OC)cs2)cc1,2.4530231553865964,2.6730991333599206,500-600,100-150,7-10,7-10,1-3,>=4,0.06656909032972164
COCC(C)CN1C(c2c(F)cc(C=CC(=O)O)cc2F)c2ccc(O)cc2CC1(C)C,4.4924916192977955,5.415648744666953,400-500,50-75,7-10,3-5,1-3,>=4,0.2792387003486339
C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,3.0943887013741525,3.0949963717650415,<200,<50,3-5,1-3,<1,3-4,0.00018380954393256663
Cc1ncc([N+](=O)[O-])n1CCO,2.5203273948259333,2.155580485727476,<200,75-100,3-5,5-7,1-3,<0,0.11032948785625799
CCOCN(C(=O)CCl)c1c(C)cccc1CC,4.15324436641953,5.377718266768763,200-300,<50,5-7,1-3,<1,3-4,0.3703816946737136
CCNc1nc(NC(C)CC)nc(OC)n1,3.0899668607496524,2.8687098799308086,200-300,50-75,5-7,5-7,1-3,3-4,0.06692632279928534
CCCCc1ccc(N)cc1,4.406139764036918,4.221997544129426,<200,<50,3-5,1-3,1-3,3-4,0.055699764160644226
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,3.92258912913882,2.7638794249233287,300-400,75-100,<3,5-7,3-5,1-2,0.3504891886709947
C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2)O)O)O,4.6317368714039,4.001584511406435,200-300,75-100,<3,3-5,3-5,2-3,0.19060994189580852
COc1ccc(C)cc1N,4.2721139337806475,3.925732183746517,<200,<50,<3,1-3,1-3,1-2,0.10477435210754367
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,3.6179097716403876,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4,0.2987058484880337
CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC,4.210982440318086,4.964426385618068,300-400,75-100,7-10,7-10,<1,1-2,0.22790346549833723
C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,2.7353750477388985,3.0111742796952568,300-400,75-100,5-7,7-10,3-5,3-4,0.08342438894987476
Cc1nc(Nc2nc3cnc(N4CCN(C)CC4)cc3[nH]2)cc(C2CC2)c1F,3.5249264502174764,3.3928489637277615,300-400,50-75,3-5,5-7,1-3,3-4,0.03995110329452747
O=C(c1ccccc1)c1ccc(O)c(O)c1O,4.050841004030981,5.482381695498671,200-300,75-100,<3,3-5,3-5,2-3,0.43301573610426447
CC(C)N(C(=O)CCl)c1ccccc1,5.176982781669666,5.18367899998282,200-300,<50,3-5,1-3,<1,2-3,0.0020254875877907894
CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,3.070121478734961,1.9378037810571844,300-400,50-75,<3,3-5,1-3,2-3,0.3425060735515213
