seed,model_type,chem_model,checkpoint_name,feature_type,test_rate,data_augmentation,protainData_extended,scale,valid_MSE,valid_MAE,valid_r2,valid_rm2,valid_CI,test_MSE,test_MAE,test_r2,test_rm2,test_CI
241,encoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,default,0.2,True,True,True,0.00319,0.04492,0.90713,0.82667,0.94952,1.3977,0.91109,0.18334,0.27702,0.7041
241,encoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,features,0.2,True,True,True,0.00218,0.03715,0.9435,0.78057,0.94545,1.28566,0.85713,0.2488,0.26817,0.68712
241,encoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,rdkit,0.2,True,True,True,0.00241,0.03938,0.92927,0.74198,0.95449,1.49624,0.93259,0.12576,0.20885,0.69531
241,encoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,all,0.2,True,True,True,0.00179,0.03295,0.95383,0.85864,0.94332,1.25122,0.83143,0.26892,0.27337,0.69517
241,decoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,default,0.2,True,True,True,0.0344,0.15004,-3e-05,0.00474,0.46627,1.86364,1.11,-0.0889,0.00022,0.53581
241,decoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,features,0.2,True,True,True,0.03868,0.15954,-0.00041,0.042,0.50062,1.77925,1.09521,-0.0396,0.01037,0.53473
241,decoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,rdkit,0.2,True,True,True,0.03409,0.14925,-0.00261,0.00306,0.51628,1.82077,1.10201,-0.06386,0.02695,0.57693
241,decoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,all,0.2,True,True,True,0.03883,0.15959,-0.00189,0.01133,0.55141,1.79351,1.09773,-0.04793,0.00683,0.50583
342,encoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,default,0.2,True,True,True,0.00266,0.04108,0.91685,0.91835,0.95168,1.49657,0.87296,0.18562,0.279,0.7144
342,encoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,features,0.2,True,True,True,0.00291,0.04306,0.91629,0.81205,0.94183,1.45662,0.88672,0.20737,0.26139,0.70631
342,encoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,rdkit,0.2,True,True,True,0.00529,0.05913,0.83294,0.61418,0.91916,1.56213,0.94083,0.14995,0.22035,0.70435
342,encoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,all,0.2,True,True,True,0.00388,0.04886,0.88856,0.92196,0.93316,1.39441,0.89858,0.24122,0.26862,0.70478
342,decoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,default,0.2,True,True,True,0.03194,0.14502,-3e-05,0.01749,0.53765,1.9159,1.11299,-0.04256,0.02361,0.44193
342,decoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,features,0.2,True,True,True,0.03506,0.15338,-0.00905,0.00866,0.5633,1.83776,1.09805,-4e-05,0.00421,0.50642
342,decoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,rdkit,0.2,True,True,True,0.03256,0.14656,-0.02821,0.0,0.50914,2.04699,1.15138,-0.11389,0.0,0.50036
342,decoder,seyonec/PubChem10M_SMILES_BPE_450k,biomarker,all,0.2,True,True,True,0.03484,0.15244,-0.0013,0.01228,0.44929,1.86321,1.1007,-0.01389,0.00047,0.49553
