SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range
CN1CCN(CC1)C2=CC=CC=C2/C=C\3/C(=O)N(CCS3)C4=CC(=C(C=C4)Cl)Cl,2.689762527697617,4.001584511406435,400-500,<50,3-5,3-5,<1,>=4
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,3.1790033908879316,1.9315549907495728,300-400,100-150,5-7,7-10,1-3,0-1
C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O,4.050115607776135,3.909029730045853,200-300,75-100,<3,5-7,3-5,1-2
COc1ccc(-c2cc(O)nc(=S)n2CCN)c(OC)c1,1.7601310364946945,2.1256653202590465,300-400,75-100,5-7,7-10,1-3,1-2
COc1ccc2c(c1)CC(C)N(CC(C)C)C2c1ccc(C=CC(=O)O)cc1,3.0810308087369203,4.966201228338529,300-400,<50,5-7,3-5,1-3,>=4
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,4.187029564771982,4.120746704603301,300-400,50-75,5-7,5-7,<1,2-3
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.040614552320938,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4
COC(=O)N1CCN(C2CCC(Nc3ncnn4ccc(C(C)CC(N)=O)c34)CC2)CC1,1.311399002795808,2.155580485727476,400-500,100-150,5-7,7-10,1-3,1-2
CCCCOC1=CC=C(C=C1)N,3.4537619272205795,4.293989094995731,<200,<50,3-5,1-3,1-3,2-3
CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,2.532347123797617,3.7184368000437407,200-300,<50,3-5,3-5,1-3,3-4
CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,2.0481532087842425,1.8064181702367141,300-400,50-75,3-5,1-3,1-3,>=4
CCN(CC)C(=O)c1cccc(C)c1,2.4470914143022124,2.3665647486203745,<200,<50,3-5,1-3,<1,2-3
CCNC1=NC(=NC(=N1)Cl)NC(C)C,3.391416761059713,2.821233560373706,200-300,50-75,3-5,5-7,1-3,1-2
CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,3.764537543634673,4.060310587985835,300-400,<50,3-5,1-3,1-3,>=4
COC1=CC(=C(C=C1Cl)OC)Cl,4.512353003410347,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4
CCOC1=CC2=CC=CC=C2OC1=O,4.46911951850957,4.206955728268953,<200,<50,<3,3-5,<1,2-3
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,2.9463445403077246,3.0688542512034256,200-300,<50,<3,<1,<1,>=4
CCCC(=NOCC)C1C(=O)CC(CC(C)SCC)CC1=O,2.616639194720868,3.440445049580359,300-400,50-75,7-10,5-7,<1,3-4
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,2.735782981608938,3.5866069434349686,400-500,<50,7-10,3-5,1-3,>=4
