SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range
CN1CCN(CC1)C2=CC=CC=C2/C=C\3/C(=O)N(CCS3)C4=CC(=C(C=C4)Cl)Cl,3.233086709184193,4.001584511406435,400-500,<50,3-5,3-5,<1,>=4
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,3.4719553040464795,1.9315549907495728,300-400,100-150,5-7,7-10,1-3,0-1
C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O,4.069942119101044,3.909029730045853,200-300,75-100,<3,5-7,3-5,1-2
COc1ccc(-c2cc(O)nc(=S)n2CCN)c(OC)c1,1.9148311998947942,2.1256653202590465,300-400,75-100,5-7,7-10,1-3,1-2
COc1ccc2c(c1)CC(C)N(CC(C)C)C2c1ccc(C=CC(=O)O)cc1,2.9975607802984503,4.966201228338529,300-400,<50,5-7,3-5,1-3,>=4
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,4.115414222721761,4.120746704603301,300-400,50-75,5-7,5-7,<1,2-3
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3.0507230138430024,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4
COC(=O)N1CCN(C2CCC(Nc3ncnn4ccc(C(C)CC(N)=O)c34)CC2)CC1,1.6923758514303586,2.155580485727476,400-500,100-150,5-7,7-10,1-3,1-2
CCCCOC1=CC=C(C=C1)N,4.5081289477910165,4.293989094995731,<200,<50,3-5,1-3,1-3,2-3
CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,3.7911135367586954,3.7184368000437407,200-300,<50,3-5,3-5,1-3,3-4
CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,1.6203308378389731,1.8064181702367141,300-400,50-75,3-5,1-3,1-3,>=4
CCN(CC)C(=O)c1cccc(C)c1,3.115479673971867,2.3665647486203745,<200,<50,3-5,1-3,<1,2-3
CCNC1=NC(=NC(=N1)Cl)NC(C)C,2.565809511338726,2.821233560373706,200-300,50-75,3-5,5-7,1-3,1-2
CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,3.725830927692019,4.060310587985835,300-400,<50,3-5,1-3,1-3,>=4
COC1=CC(=C(C=C1Cl)OC)Cl,5.114740754517767,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4
CCOC1=CC2=CC=CC=C2OC1=O,4.305130498668489,4.206955728268953,<200,<50,<3,3-5,<1,2-3
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,3.3256715631122358,3.0688542512034256,200-300,<50,<3,<1,<1,>=4
CCCC(=NOCC)C1C(=O)CC(CC(C)SCC)CC1=O,2.8846048606928987,3.440445049580359,300-400,50-75,7-10,5-7,<1,3-4
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,3.122619591370528,3.586606943434969,400-500,<50,7-10,3-5,1-3,>=4
CCCCCCCCC,2.3495615378380985,2.399200311773536,<200,<50,5-7,<1,<1,3-4
CN=C(O)c1nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc2c1N[C@@H](C)C1CCOCC1,1.7899040544659004,2.436384074813386,400-500,100-150,>=10,7-10,1-3,>=4
C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,3.6058524836325416,4.970271451552798,200-300,<50,<3,1-3,<1,3-4
CN1CCCC1=O,2.1591822950484567,0.42492050519227037,<200,<50,<3,1-3,<1,0-1
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,3.3540549648810454,2.7184285063678635,200-300,<50,<3,<1,<1,>=4
CCC(C)NC1=NC(=NC(=N1)NCC)OC,3.0953573100648164,2.8687098799308086,200-300,50-75,5-7,5-7,1-3,1-2
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,3.840380750896762,4.597751394682993,300-400,50-75,<3,3-5,<1,3-4
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,1.3759103416891068,1.7150298353152096,200-300,75-100,3-5,3-5,1-3,1-2
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,2.9791914605782877,3.9028862723145594,400-500,75-100,5-7,5-7,1-3,3-4
C(F)(F)(Cl)Cl,2.2926966094986483,0.4960254312430792,<200,<50,<3,<1,<1,2-3
Cc1cc(C)nc(Nc2ccccc2)n1,3.6231638395802395,4.724457218962176,<200,<50,<3,3-5,1-3,2-3
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,3.981569138485035,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4
C[C@@H](CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(Cl)cc1)C(=O)O,2.453154567261698,4.086293909171261,300-400,50-75,3-5,1-3,1-3,>=4
CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2,3.3316339828889285,4.668975156893465,300-400,50-75,5-7,5-7,<1,>=4
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl,2.78366494750207,2.364414485253622,300-400,<50,3-5,3-5,1-3,>=4
C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,2.7284586851310197,3.274991472994688,500-600,100-150,>=10,7-10,1-3,>=4
CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccs3)nnc1-2,2.827161352840109,2.7890647440831073,300-400,<50,3-5,5-7,<1,>=4
COc1cccc(C(O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,3.2322424790709876,2.7014991363254537,300-400,<50,7-10,3-5,1-3,3-4
