SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range
Cc1ccc(NC(=O)c2cccc(F)c2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,2.903155344316497,3.366857803032191,400-500,50-75,3-5,5-7,1-3,3-4
CN1CCN(CC1)C2=CC=CC=C2/C=C\3/C(=O)N(CCS3)C4=CC(=C(C=C4)Cl)Cl,2.719165388749456,4.001584511406435,400-500,<50,3-5,3-5,<1,>=4
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,2.6573264058188517,1.9315549907495728,300-400,100-150,5-7,7-10,1-3,0-1
C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O,3.078875777502949,3.909029730045853,200-300,75-100,<3,5-7,3-5,1-2
CC(C)C(CS(=O)(=O)C(C)(C)C)N1C(=O)C(C)(CC(=O)O)CC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1,2.028299642795338,3.049271618680062,500-600,75-100,7-10,3-5,1-3,>=4
CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,2.109509193318751,2.3710890663231,400-500,100-150,7-10,5-7,3-5,3-4
COc1cc(F)ccc1Cn1ccc2c3c(ncc21)C(=O)N(O)C3(C)C,2.367891277857971,4.307785730608181,300-400,50-75,3-5,5-7,1-3,3-4
COc1cc(-c2ccc3c(n2)CN(c2cnn(CC#N)c2)C3=O)cnc1OC,2.0188078617644307,3.2749914729946883,300-400,100-150,5-7,7-10,<1,2-3
COc1ccc(-c2cc(O)nc(=S)n2CCN)c(OC)c1,2.413871519363102,2.1256653202590465,300-400,75-100,5-7,7-10,1-3,1-2
COCCNC(=O)c1c(O)c2ncc3c(ccn3Cc3ccc(F)cc3)c2[nH]c1=O,2.3323745738838793,2.7732990948653913,400-500,100-150,5-7,5-7,3-5,2-3
CCS(=O)(=O)c1ccc(CC(O)=Nc2cc(-c3cc(C#N)cc(F)c3OC)cs2)cc1,3.290940973685721,2.7244535934877994,400-500,75-100,7-10,5-7,1-3,>=4
CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl,3.952393192500103,2.8569408253469852,300-400,<50,5-7,3-5,<1,>=4
COP(=O)(CCC(=O)NCO)OC,2.5130727688691312,0.771966332301817,200-300,75-100,5-7,5-7,1-3,<0
CN(C)S(=O)(=O)C[C@@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)C,2.881047699474454,2.600247446345537,500-600,75-100,7-10,3-5,1-3,>=4
COc1cc(C)c2nc3[nH]nc(C)c3c(CN3CCCOCC3)c2c1,2.6190923622465347,3.0789719424200266,300-400,50-75,3-5,5-7,1-3,2-3
CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],3.1696746905281445,4.391528907243135,200-300,75-100,5-7,5-7,1-3,>=4
COc1ccc2c(c1)CC(C)N(CC(C)C)C2c1ccc(C=CC(=O)O)cc1,3.50524464084972,4.966201228338529,300-400,<50,5-7,3-5,1-3,>=4
NC(=O)NC(=O)C(Nc1ccc2c(c1)CCC2)c1ccccc1,2.5481816228770513,3.5866069434349686,300-400,75-100,3-5,3-5,3-5,2-3
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,4.68791915537413,4.120746704603301,300-400,50-75,5-7,5-7,<1,2-3
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.215974580135894,2.630394674066566,300-400,<50,5-7,3-5,1-3,>=4
CCN=C(O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)S(=O)(=O)CCC3)cc1,3.1343490912871848,4.279999446191961,400-500,100-150,3-5,7-10,1-3,2-3
COC(=O)N1CCN(C2CCC(Nc3ncnn4ccc(C(C)CC(N)=O)c34)CC2)CC1,2.234275128017807,2.155580485727476,400-500,100-150,5-7,7-10,1-3,1-2
