SMILES,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
[2H]C([2H])([2H])C(c1cc(-c2cccnc2O)cc(/C=C/c2ccc(NS(C)(=O)=O)cc2)c1OC)(C([2H])([2H])[2H])C([2H])([2H])[2H],0.29094080779141185,0.6159010398811564,0.4,0.5,0.30000000000000004,0.6624091085232932,0.4265818514770372
[O-]Cl=O.[Na+],0.847474991590588,0.08556165009713174,0.0,0.2,0.0,0.0,0.22225434918799092
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,0.48634507828081847,0.5058707576276996,0.8,0.6000000000000001,0.45,0.5333222615490646,0.5996819430388897
C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,0.37137233449979895,0.5157981944920579,0.2,0.7000000000000001,0.1,0.5577827787029659,0.36012722278444415
C(=C(Cl)Cl)(Cl)Cl,0.021021428913322007,0.19116386698663007,0.0,0.0,0.0,0.1545885181534092,0.0
C(=C(Cl)Cl)Cl,0.5419824153053392,0.1426408410467375,0.0,0.0,0.0,0.1302305927619988,0.0
C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.5549034744440717,0.6697805965032566,0.2,0.2,0.35000000000000003,0.27319475319316866,0.289913739096911
C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,0.9844342988385915,0.9449348645869042,0.0,0.4,0.6000000000000001,0.5332206855465983,0.21570044817117245
C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,0.4245338845349835,0.5682636270140554,0.0,0.4,0.6000000000000001,0.4395472960722084,0.21570044817117245
C(C(F)(F)F)(C(F)(F)F)F,0.4232366783235196,0.19990572505999313,0.0,0.0,0.0,0.08637007489706543,0.0
C(C(F)(F)F)(Cl)Cl,0.7863998191984544,0.1741086732944806,0.0,0.0,0.0,0.10944306385727759,0.0
C(C(F)(F)F)F,0.03683453957229459,0.10278825277111187,0.0,0.0,0.0,0.061097965483458604,0.0
C(CCC(=O)NN)CC(=O)NN,0.149571807450836,0.20577648268769283,0.8,0.4,0.25,0.21903950747827924,0.5312515059515204
C(CCl)Cl,0.6462830521153515,0.09701748371614671,0.0,0.0,0.05,0.10888947464383646,0.0
C(Cl)(Cl)Cl,0.7700409593360373,0.1254999428636727,0.0,0.0,0.0,0.10841714623236832,0.0
C(F)(F)(F)Br,0.4232366783235196,0.16835218832133467,0.0,0.0,0.0,0.07609058344747936,0.0
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,0.28315006697966505,0.2957233459033253,0.0,0.5,0.25,0.28014915420202147,0.31357524938557174
C/C(=C\C(=O)NC)/OP(=O)(OC)OC,0.2523383132689488,0.275697063192778,0.2,0.5,0.25,0.256648022391414,0.3559346537516264
C[As](=O)(C)O,0.0655985442153779,0.15415381099302936,0.2,0.1,0.0,0.10354302175402458,0.17975037347597705
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.2646827494367868,0.35011712947091755,0.2,0.4,0.05,0.3977497868173649,0.21594140041443788
C[C@@H](C1=CC=CC=C1F)SC2=NC3=C(C(=N2)N[C@H](CC(C)C)CO)SC(=N3)N,0.7049994650719396,0.5586361558679007,0.6000000000000001,0.8,0.4,0.5802320910080352,0.4672063996915811
C[C@@H](C1=NC=C(C=C1)F)NC2=NC(=CN=C2C#N)NC3=NNC(=C3)C4CC4,0.4918899077003016,0.47724545766198145,0.6000000000000001,0.7000000000000001,0.30000000000000004,0.49175532981981945,0.5551539684834466
C[C@@H](Nc1cc(F)cc(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,0.5558157746584189,0.6329276654096674,0.2,0.6000000000000001,0.25,0.6449121342184666,0.36152474579538335
